02_03_01_Entity Name,03_01_04_Date(s) Breach Occurred (start),Completed Date,03_01_02_Total number of Maine residents affected,03_01_01_Total number of persons affected (including Maine residents)
"CM Group Holdings, Inc. d/b/a Creative Memories",January 31 2019 ,4/1/2019,8,1251
"TaxAct, Inc.",March 10 2020,4/1/2020,1,130
"Plano Synergy Holdings, Inc.",12/28/2019,4/1/2020,1,173
"Union Benefit Planners, Inc.",November 7 2018,4/10/2019,2,2764
Colgate University,1/19/2019 ,4/10/2019,3,621
Pie Five Pizza,9/6/2018,4/10/2019,Unknown,Unknown
TigerChef,07/17/2019 ,4/10/2020,9,1154
"John F. Murphy Homes, Inc.",03/04/2019,4/11/2019,842,853
Riverplace Counseling Center,1/20/2019,4/11/2019,1,11639
Marathon Petroleum Company LP,11/28/2018 ,4/11/2019,1,1287
Merrick Bank Corporation,March 8 2019,4/12/2019,13,2612
"Jobscience, Inc.",May 11 2018,4/12/2019,1250,1750000
Lakeland Community College,January 13 2020,4/13/2020,1,12244
"Viscogliosi Bros., LLC",8/26/2019 ,4/14/2020,1,329
"The Hallen Construction Company, Inc.",March 17 2020,4/14/2020,1,1406
Northern Idaho Advanced Care Hospital,October 8 2018 ,4/15/2019,1,7037
Northern Colorado Rehabilitation Hospital,October 8 2018 ,4/15/2019,1,7037
Bruegger's Bagels/Caribou Coffee,8/28/2018,4/15/2019,1,546
ExecuPharm International LLC,March 6 2020,4/15/2020,1,2825
Lincoln Financial Advisors Corporation,03/19/2020,4/15/2020,2,4076
Lee Holding Company a/k/a Lee Auto Malls,02/18/2020,4/15/2020,1082,1098
"Jocor Enterprises, LLC dba Volcano eCigs",2/13/2019,4/16/2019,5,1998
"Centrelake Medical Group, Inc.",1/9/2019 ,4/16/2019,4,197661
Delta Dental of Illinois (on behalf of the groups listed in attached table),12/21/2018,4/16/2019,7,5092
Color Street,2/4/2019,4/16/2019,1,389
Raffle Brothers DBA Arby's,Novebmer 3 2018,4/16/2019,11578,11578
"International Rehabilitative Sciences, Inc.  dba RS Medical",2/11/2019,4/16/2019,4,1914
"Merritt Park Holdings, LLC",06/29/2019 ,4/16/2020,3,2430
"Fareway Stores, Inc.",2/18/2020,4/16/2020,1,36081
"flexPATH Strategies, LLC",12/7/2019,4/17/2019,49,91769
Squar Milner LLP,02/05/2020,4/17/2020,1,3188
"Fusion Management Services, LLC",3/13/2020,4/17/2020,2,10902
Southwest Airlines Pilots’ Association (SWAPA),January 25 2020 ,4/17/2020,6,1342
"PrimoHoagies Franchising, Inc.",07/15/2019 ,4/17/2020,16,63697
"RunSignUp, Inc",3/4/2019,4/18/2019,1,222
New Bit Ventures Ltd. (owner of Coinmama.com),December 9 2018 ,4/19/2019,204,150000
Chapman Auto Group,February 19 2020,4/19/2020,1,1473
"Auto Truck Kargo Equipment, LLC",07/19/2018,4/2/2019,1,762
Columbia Forest Products,09/8/2018,4/2/2019,165,2391
"Centurion Land Title, Inc.",11/16/2018,4/2/2019,2,1246
"KandyPens, Inc.",3/7/2019 ,4/20/2020,204,39457
Silicon Valley Community Foundation,08/23/2018,4/20/2020,1,7250
"Tupperware U.S., Inc.",03/19/2020 ,4/21/2020,13,4763
Luxe Energy LLC,10/19/2018 ,4/21/2020,1,1018
Bonney Buzzell,2014,4/21/2020,8,8
Maine Historical Society,December 15 2019,4/21/2020,22,22
"Presidio, Inc.",03/05/2020,4/21/2020,6,3324
Volusion LLC,09/07/2019,4/21/2020,2305,541000
Maine Maritime Academy,September 18 2018 ,4/22/2019,523,696
Burt Wealth Advisors,February 7 2019 ,4/22/2019,1,410
Drake Software,02/19/2020,4/23/2020,2,336
"Hot Line Construction, Inc.",10/25/2018 ,4/24/2019,1,2812
Bel-Borne Management dba Village Hat Shop,February 13 2019,4/24/2019,2,300
Daniel Bendetowicz MD PA,03/25/2020,4/24/2020,1,3314
Trinity Benefit Advisors,05/06/2019,4/24/2020,2,1513
"Paradigm Life Insurance, LLC",11/20/2018,4/26/2019,1,700
"Ray Insurance Agency, Inc",10/16/2019 ,4/27/2020,3,661
Meridian Health Services Corp.,12/9/2019,4/27/2020,4,111372
Town & Country Federal Credit Union,April 1 2018,4/29/2019,1905,2030
North 40 Outfitters,12/17/2019,4/29/2019,10,2140
"Capital Brands Distribution, LLC",02/19/2020 ,4/29/2020,5,2285
ExecuPharm Inc.,March 6 2020,4/29/2020,1,4000
UniCarrriers Americas Corporation,April 14 2020,4/29/2020,1,1
Tacony Corporation,6/7/2018,4/30/2019,3,1687
MMBB Financial Services,9/11/2018 ,4/30/2019,2,108
"AeroGrow International, Inc.",10/29/2019,4/4/2019,154,27488
Gettysburg College,01/19/2019 ,4/4/2019,1,162
Gettysburg College,01/19/2019 ,4/5/2019,1,162
"Wirepath Home Systems, LLC d/b/a Control4 and/or d/b/a SnapAV",10/13/2019 ,4/6/2020,1,408
"Spinrite, Inc.",November 29 2019,4/6/2020,4,1917
NS Leasing LLC,10/16/2019,4/6/2020,127,5596
"Weber and Company, Inc.",February 11 2020,4/7/2020,1,900
"America Juice Co., LLC",November 8 2018 ,4/8/2019,6,4843
First Commerce Bank,05/13/2017 ,4/8/2019,1,2988
"Key West Hotels, LLC",02/07/2018 ,4/8/2019,unknown,18000
"Grape Holding, NV",March 5 2020,4/8/2020,116,6885
West County R-IV School District,10/6/2019 ,4/8/2020,1,1029
Duke University,2013 ,4/9/2019,3,1491
Canyon Bakehouse LLC,3/29/2017,4/9/2019,31,11976
Herring Bank,May 10 2012 ,4/9/2019,1,95
Bimba LLC,December 24 2019,4/9/2020,3,944
Affordacare Urgent Care Clinics,February 1 2020,4/9/2020,5,55338
"Armstrong Oil & Gas, Inc. and Armstrong Vineyards, Inc. d/b/a Epoch Estate Wines (collectively ""Arms",11/20/2020,5/1/2020,1,436
"Armstrong Oil & Gas, Inc. and Armstrong Vineyards, Inc. d/b/a Epoch Estate Wines (collectively ""Armstrong"")",11/19/2019,5/1/2020,1,436
"McKissock Investment Holdings, LLC",November 16 2019 ,5/1/2020,2,10839
"State Garden, Inc.",04/23/2020,5/1/2020,2,2
The Southeastern Council for Alcoholism and Drug Dependence,02/18/2019,5/10/2019,15,25148
Oklahoma Department of Securities,11/29/2018 ,5/10/2019,281,293492
General Board of Higher Education and Ministry,1/25/2019 ,5/10/2019,1,922
"Magellan Health, Inc.",April 6 2020 ,5/11/2020,650,106473
Intuit Inc.,April 12 2020,5/11/2020,1,1
Lynette Arce,May 1 2019,5/14/2019,143,2
Geisinger Health,07/20/2017 ,5/14/2020,1,805
Reedman Toll Auto World,March 18 2020,5/14/2020,10,14474
PCL Constructors Inc.,February 18 2020 ,5/14/2020,2,18272
Sargent Corporation,April 14 2020,5/14/2020,6,6
Vista Autism Services,02/14/2019 ,5/15/2019,2,1249
"BCA Watson Rice, LLP",01/04/2019 ,5/15/2019,1,2113
Cancer Treatment Centers of America at Southeastern Regional Medical Center,March 10 2019 ,5/15/2019,16819,48
Signet Investment Advisory Group,03/19/2019,5/15/2019,4,285
"Akin Doherty Klein & Feuge, P.C.",02/08/2019 ,5/15/2019,2,4007
"Mat-Su Surgical Associates, APC",03/16/2020,5/15/2020,3,13146
St. Francis College,August 23 2018 ,5/16/2019,5,28100
Aeroflow Inc.,09/06/2018,5/17/2019,15,4454
Prime Communications,12/11/2019,5/18/2020,10,8001
"Audio Visual Services Group, LLC, d/b/a PSAV",on or before October 22 2019 ,5/18/2020,1,2878
Cornerstone Solutions Group,January 24 2020,5/19/2020,1,734
Genworth,04/01/2020,5/19/2020,1,2135
T3 Micro,07/13/2018,5/20/2019,28,20881
Cincinnati Parks Foundation,3/21/2020 ,5/20/2020,3,1796
Allegheny Intermediate Unit,August 6 2019 ,5/20/2020,16,108132
"RH White Companies, Inc.",02/18/2020,5/20/2020,3,974
"Smooth-On, Inc. and Reynolds Advanced Materials",2/24/2019 ,5/21/2019,28,4300
"Gustafson & Company, LLC",01/22/2020 ,5/21/2020,2,2207
"Illinois Industrial Tools d/b/a Great Lakes Wholesale Group, IIT-JMK",07/08/2019,5/21/2020,1,338
The Georgia Institute of Technology,12/14/2018,5/22/2019,850,1265883
"VNS Federal Services, LLC",April 12 2019,5/22/2019,1,675
Sceptre Hospitality Resources,January 22 2020 ,5/22/2020,8,4340
Coble Cravens Investments and Insurance,12/17/2018,5/23/2019,3,1832
Aprio LLP,February 6 2019 ,5/23/2019,2,1328
HP Restaurant Group,10/7/2011 ,5/24/2019,23,11184
National Wildlife Federation,1/3/2019,5/24/2019,330,47343
Northwestern Health Sciences University,10/16/2018 ,5/24/2019,2,3499
"Drury Hotels Company, LLC",12/29/2017 ,5/25/2019,6,109000
"Compass Health, Inc., d/b/a Compass Health Network (""Compass"")",February 19 2020,5/26/2020,3,10538
Princeton Community Hospital,February 19 2020,5/26/2020,1,2094
Emerson Hospital,February 19 2020,5/26/2020,14,3386
"Classic Aire Care, Inc.",April 15 2020,5/26/2020,1,290
Volk Optical Inc.,February 11 2020,5/26/2020,1,358
"Quest Education, LLC",4/17/2020,5/26/2020,4,1314
Southern Medical Health Systems,02/18/2020,5/26/2020,1,3766
"Car Wash Partners, Inc., dba Mister Car Wash",10/30/2019 ,5/27/2020,4,43834
Mabrey Bank,01/30/2020 ,5/27/2020,1,9671
Therapia Staffing,01/23/2020,5/27/2020,2,406
Mediant Communications Inc,04/01/2019,5/28/2019,462,204812
Condé Nast,April 14 2019 ,5/28/2019,2,1161
"Dogeared, Inc.",11/19/2019 ,5/28/2020,8,2131
Amtrak,04/16/2020 ,5/28/2020,66,13442
"Minted, LLC",05/06/2020,5/28/2020,9200,4280000
"Chamberlain Group, Inc.",11/02/2018,5/29/2019,1,137
"Dixon Foods Group, Inc.",2/19/2020,5/29/2020,2,13647
"Good Samaritan Hospital, Inc.",10/22/2019,5/29/2020,2,11891
"Rogue & Co., LLC",03/06/2020 ,5/29/2020,6,975
"Catholic Charities, Diocese of San Diego",March 27 2020,5/29/2020,1,49518
"Salt Life, LLC.",12/12/2018 ,5/3/2019,66,14267
Bed Bath & Beyond Inc.,6/19/2018,5/3/2019,1,346
"Facility Site Contractors Inc./Total Site Contractors, Inc.",02/18/2019,5/3/2019,1,780
Florida Hometown Title & Escrow,October 1 2018,5/4/2019,3,1823
API Source Inc.,12/09/2019 ,5/4/2020,8,1303
Pacific Press Publishing Association,June 22 2019 ,5/4/2020,28,5100
Peregrine Corporation d/b/a PSL Services,December 16 2019 ,5/4/2020,2303,2401
"Environmental Data Resources, LLC",8/8/2019,5/4/2020,4,1795
Impact Mobile Home Communities,10/3/2018,5/5/2020,2,15067
"Women’s Health USA, Inc.",04/05/2018 ,5/6/2019,1,10241
Community Concepts,March 7 2019,5/6/2019,11,11
Aroma Joe’s Franchising LLC,October 23 2019 ,5/6/2020,262,416
Simon Pearce (US) Inc.,January 23 2019 ,5/7/2019,3,433
Atria Wealth Solutions,12/3/2019,5/7/2020,4,11046
Moorestown Visiting Nurse Association,11/29/2019,5/7/2020,1,26465
Doctors Community Medical Center,11/06/2019 ,5/7/2020,3,12390
"EmCare, Inc, Sheridan Healthcorp and their affiliates (collectively ""EmCare"")",September 24 2018,5/8/2019,74,60002
"Automated Pet Care Products, Inc. (""AutoPets"")",March 13 2019 ,5/8/2019,2,181
"State Farm Mutual Automobile Insurance Company, its affiliates and subsidiaries",3/4/2019,5/8/2019,1,1
OnDeck,3/11/2019,5/8/2019,1,2
Arkansas Teacher Retirement System,1/31/2020 ,5/8/2020,10,52682
Cincinnati State Technical & Community College,October 1 2019 ,5/8/2020,1,2706
"L&M Fleet Supply, Inc.",December 5 2018 ,5/9/2019,130,4952
Spangler Candy Company,1/26/2019,5/9/2019,1,281
"Sprint Corporation (""Boost Mobile"")",March 14 2019,5/9/2019,4,25909
"Exeter Health Resources, Inc.",02/19/2020,5/9/2020,286,5315
"Enstructure, LLC",01/07/2020 ,6/10/2020,79,1171
Geisinger Health Plan,April 6 2020,6/10/2020,1,377
"Technique Golf, LLC dba Super Stroke USA",10/10/2019,6/10/2020,5,2022
"American Medical Response, Inc.",9/24/2018,6/11/2019,18,23356
"Sacks Press & Lacher, P.C.",07/30/2018,6/11/2019,2,1295
Homeland Mortgage Company,02/18/2020,6/11/2020,2,5424
Tait Towers Manufacturing LLC,02/16/2020 ,6/11/2020,1,44109
"Zoosk, Inc.",01/12/2020,6/11/2020,33351,24200000
"Keystone Peer Review Organization, Inc. d/b/a KEPRO",April 30 2019,6/12/2019,29,299
"Magellan Health, Inc.",April 6 2020 ,6/12/2020,2231,1650500
"Bombshell Productions, Inc.",01/15/2020,6/12/2020,1,176
ZOLL Services LLC,November 8 2018 ,6/13/2019,11,277319
Breckenridge Grand Vacations,December 1 2018,6/13/2019,1,1455
Memorial Hospital at Gulfport,12/06/2018,6/14/2019,4,56850
Massachusetts Department of Transportation’s Registry of Motor Vehicles (“MassDOT”),April 11 2019,6/14/2019,5,7202
"EatStreet, Inc.",5/3/2019,6/14/2019,40,13355
"Community Solutions, Inc.",11/11/2019  ,6/15/2020,1,902
New Horizons Credit Union,08/07/2019,6/15/2020,8,71488
"PeoplesBank, A Codorus Valley Company",03/09/2020 ,6/15/2020,3,5342
"DAAR Engineering, Inc.",03/28/2019,6/15/2020,1,456
Sonicbids LLC,12/29/2019,6/16/2020,22,5503
"dataxu, Inc.",4/29/2019 ,6/17/2019,1,494
"HRB Tax Group, Inc.",04/24/2020,6/17/2020,1,132
HintonBurdick CPA & Advisors,2/5/2019 ,6/18/2019,2,6579
Cincinnati Bell Inc.,2/11/2019 ,6/18/2019,1,3395
Aero Grow,10/29/2018,6/18/2019,4,1200
"Le Duff America, Inc.",8/28/2019 ,6/18/2020,1,37191
Valencia College,November 27 2019 ,6/18/2020,1,3817
John SMith,01/15/2020,6/18/2020,1,17
Wor-Wic Community College,March 12 2019,6/19/2019,1,10682
Robert Wilson & Company Inc.,2/8/2019,6/19/2019,1,10
ShowMeCables,April 12 2019 ,6/19/2019,1,247
"Sobel Westex, Inc.",April 10 2020,6/19/2020,1,385
STRATA Trust Company,02/10/2020 ,6/19/2020,42,12238
CodeMetro,04/21/2020,6/19/2020,4,1540
Southern Farm Bureau Life Insurance Company,January 8 2020,6/19/2020,1,3953
"Joseph J. Gormley, CPA",4/8/2020,6/19/2020,1,1591
TD Bank N.A,5/16/2020,6/19/2020,1,1
TD Bank N.A.,3/6/2020,6/19/2020,1,10
Paul Quinn College,May 24 2019 ,6/2/2020,2,24037
BOOKSHARK LLC,03/11/2019 ,6/2/2020,1,16
WWW.FIXMYBLINDS.COM,03/14/2019,6/2/2020,8,3390
Coffee AM,2/1/2019,6/2/2020,12,1745
Missouri Southern State University,01/09/2019,6/20/2019,6,12574
"Ryder System, Inc.",3/21/2019,6/20/2019,2,729
Concorde Investment Services,September 17 2019 ,6/20/2020,19,21842
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc. (hereinafter referred to collectively as “Dominion National”)",August 25 2010 ,6/21/2019,593,3119635
Castlight Health Inc.,April 1 2019,6/21/2019,1,71
TenX Systems LLC d/b/a ResiDex Software,04/02/2019,6/21/2019,35,95000
"Bailard, Inc.",02/25/2020 ,6/22/2020,5,814
"GAIN Capital Group, LLC",04/14/2020 ,6/22/2020,39,18201
"Mattress Insider, LLC",January 11 2020 ,6/22/2020,14,1708
Paramount Bank,November 26 2019 ,6/23/2020,3,4355
Kurt J. Lesker Company,12/23/2018 ,6/24/2019,1,199
National Aviation Academy,8/1/2018,6/24/2019,2,1011
"The National World War II Museum, Inc.",10/6/2018 ,6/24/2019,6,2285
"Hood & Associates, CPAs, PC",3/12/2018 ,6/24/2019,2,7013
American Statistical Association,April 13 2020,6/24/2020,1,622
Ketterer Company,2/7/2020 ,6/24/2020,82,4531
"Integrity Data, Inc.",04/22/2020 ,6/24/2020,2,1919
Kroto Inc. d/b/a iCanvas,May 10 2020,6/24/2020,21,7939
Island Institute,6/15/2020,6/24/2020,1,1
"Realized Holdings, Inc.",05/18/2020,6/24/2020,1,177
"Drury Hotels Company, LLC",12/29/2017 ,6/25/2019,5,109000
"Cvent, Inc.",April 16 2019 ,6/25/2019,19,3100
"CNY Works, Inc.",12/21/2019,6/25/2020,34,55459
Maine Department of labor,6/9/2020,6/25/2020,1,1
Title Middle Peninsula Northern Neck Agency Inc.,9/12/2019 ,6/25/2020,2,574
"IM Shopping, Inc.",04/24/2019,6/26/2019,39,8796
A.T. Cross Company,05/09/2019 ,6/26/2019,1248,4
Amsterdam Printing & Litho,02/1/2019 ,6/26/2019,8,1835
Bowdoin College,01/31/2020,6/26/2020,12,129
"Sykes Enterprises, Incorporated",April 5 2020,6/26/2020,2,1073
"BCycle, LLC",01/24/2020 ,6/26/2020,1,2597
Milford Regional Medical Center,02/18/2020,6/26/2020,5,3710
"PAR Electrical Contractors, Inc.",September 27 2018,6/27/2019,3,982
"Forge Consulting, LLC",7/12/2017 ,6/27/2019,1,1095
Toyota and Lexus Financial Services,May 24 2019 ,6/27/2019,7,1793
Micro-Mom Scooters LLC d/b/a Micro Kickboard,03/14/2019,6/27/2019,11,4407
"Hauser, Inc.",4/30/2019,6/28/2019,11,14806
Forgotten Felines of Maine,June 27 2020,6/28/2020,1,1
Steel Partners Holdings L.P.,04/18/2020,6/29/2020,12,18
"Rocket Dollar, Inc.",4/26/2019,6/3/2019,3,921
Jackson National Life Insurance Company,April 1 2019,6/3/2019,124,31170
Rosenberg & Manente,June 5 2018,6/3/2019,1,1572
Verizon,04/24/2019,6/3/2019,1,26
Bombas LLC,11/11/2016,6/3/2020,488,83000
Bombas LLS,11/11/2016,6/3/2020,488,83000
Fishing Partnership Support Services,01/13/2020,6/3/2020,30,282
Lisa Riley,May 1 2020,6/3/2020,Unknown,Unknown
Lakewood Church,1/21/2020,6/3/2020,1,7520
Department of Labor / Unemployment Fraud,unknown ,6/3/2020,1,1
Chartered Professional Accountants of Canada,11/30/2019 ,6/3/2020,2,5760
Codal Inc.,January 24 2020,6/30/2020,6,2570
EDP Renewables North America LLC,04/12/2020,6/30/2020,29,3886
Maine Department of Labor,6/5/2020,6/30/2020,18,18
"Monroe Capital, Inc.",January 15 2020,6/30/2020,1,237
"TD Bank, N.A.",Various,6/30/2020,23,577
"American Express Travel Related Services Company, Inc. and/or its Affiliates",04/16/2020,6/30/2020,2,3767
Steward Health Care System LLC,March 5 2019,6/4/2019,18,2665
"Historical Emporium, Inc",March 2 2019,6/4/2019,23,4366
St. Michael's College,11/13/2019 ,6/4/2020,6,1040
Cook & Morehart,04/07/2020,6/4/2020,1,"Approximately 70,60"
American Rental Association,June 14 2018 ,6/5/2019,7,641
"Retrieval-Masters Creditors Bureau, Inc. (d/b/a/ American Medical Collection Agency)",August 1 2018,6/5/2019,19478,7651395
University of Alaska,01/31/2018,6/5/2019,13,7445
Myron Corp. d/b/a Pen Factory (“Pen Factory”),09/01/2019,6/5/2020,78,13965
BHHS Legacy Foundation,1/2/2020 ,6/5/2020,2,1443
"Sage Advisors, LLC",02/12/2019 ,6/6/2019,1,1407
"Evite, Inc.",February 22 2019 ,6/6/2019,32244,18571486
"Eton Advisors Group, LLC",3/29/2019,6/6/2019,1,130
"Acrisure, LLC, d/b/a Filice Insurance Agency",4/3/2019,6/6/2019,1,30821
Nassau Educators Federal Credit Union,December 21 2018 ,6/7/2019,34,86773
"Cetera Financial Group, Inc.",9/24/2018,6/7/2019,2,1662
Princess Polly Group Pty Ltd,11/1/2018 ,6/7/2019,215,168008
Nidec Motor Corporation,Please see Exhibit 1,6/7/2019,3,2423
Darwin's Natural Pet Products,September 27 2016,6/7/2019,85,19523
The Venice Golf and Country Club,01/10/2020 ,6/8/2020,1,728
MAINE DEPARTMENT OF LABOR,UNKNOWN,6/8/2020,???,1
Ottawa Kent Insurance Agency,November 4 2019,6/9/2020,4,5760
"SMLP, LLC (d/b/a StatLab)",01/26/2019,7/1/2019,1,103
"Weber & Vanorio CPAs, P.C.",April 28 2020,7/1/2020,2,2510
"Vishay Intertechnology, Inc.",March 6 2020 ,7/1/2020,16,1096
"Urban Compass, Inc.",05/24/2019 ,7/1/2020,20,14183
Miller Kaplan Arase LLP,03/22/2019,7/10/2019,1,7916
Stanwich Mortgage Loan Trust,2/1/2018,7/10/2019,9,5045
Sprint,June 2 2019,7/10/2019,35,26801
Kolbrenner & Alexander LLC,February 28 2019,7/10/2019,2,2623
Morgan Stanley,02/21/2020,7/10/2020,490,209881
Morgan Stanley,03/01/2016,7/10/2020,52594,14256250
Allegiance Title Company,02/18/2020 ,7/10/2020,1,2850
McPherson College,10/03/2019,7/10/2020,3,3075
"Springhouse, Inc.",04/2/2019 ,7/12/2019,2,479
"Epoch Senior Living, LLC",04/2/2019 ,7/12/2019,2,1389
Penobscot Community Health Care,August 1 2018 ,7/12/2019,283,274
"Zero Technologies, LLC.",11/4/2018 ,7/12/2019,33,11727
Qlik,On or before May 16 2019,7/12/2019,1,151
Oberlin College,3/5/2019,7/12/2019,24,1816
Coastal Truck & Auto Body Inc.,07/04/2019,7/12/2019,2,29
"Loungefly, LLC",09/19/2018 ,7/12/2019,1,4562
"Consolidated Electrical Distributors (CED), Inc.",8/11/2019 ,7/14/2020,1,131
"Consolidated Electrical Distributors (CED), Inc.",8/11/2019 ,7/14/2020,1,131
Northwood Inc,05/03/2019,7/15/2019,531,86050
"Merani Hospitality, Inc.",02/16/2017,7/15/2020,55,46758
Laboratory Corporation of America Holdings,August 1 2018,7/16/2019,172,10241756
Capital One,6/2/2020 ,7/16/2020,1,275
Lorien Health Services,6/6/2020,7/16/2020,5,47754
"Wealth Enhancement Group, LLC (the parent company of Wealth Enhancement Advisory Services, LLC, a registered investment advisor)",03/22/2020,7/16/2020,9,2893
Genworth,04/01/2020,7/16/2020,1,2135
"C&S Wholesale Grocers, Inc.",June 18 2019,7/17/2019,13,16790
"Verigent, LLC",10/21/2019 ,7/17/2020,1,4360
"CSWW, Inc. d/b/a North 40 Outfitters (""North 40"")",11/27/2019 ,7/17/2020,1,609
"Next Glass, Inc.",2012,7/17/2020,1455,240930
"Fossil Group, Inc.",May 14 2019 ,7/18/2019,8,1393
"Dallas Computer Services, Inc.",June 24 2019 ,7/18/2019,3,66608
"Spark Technologies, Inc.",3/20/2015,7/18/2019,24,65000
University of Vermont,April 13 2019 ,7/19/2019,13,670
"Homeland Title, LLC",7/29/2019,7/19/2020,5,5991
"White Oak Commercial Finance, LLC",March 12 2019 ,7/2/2019,1,75
"Backcountry Edge, Inc.",Unknown,7/2/2019,100,12109
St. Ambrose University,January 18 2016,7/2/2020,1,312
"MelroseWakefield Healthcare, Inc.",February 18 2020,7/2/2020,7344,24
Frederick W. Howarth III d/b/a TBG West Insurance Services (“TBG West”),03/27/2020,7/20/2020,41,72819
Highpoint Foot & Ankle Center,04/01/2020,7/20/2020,5,25554
"U.S. Restaurants, Inc.",02/07/2020 ,7/21/2020,13,32104
Prisma Health,02/18/2020,7/21/2020,7,32335
Florida Orthopaedic Institute,April 6 2020 ,7/21/2020,276,651000
American Public Works Association,April 6 2020,7/22/2020,3,479
YogaFit,4/11/2020 ,7/22/2020,3,735
"Zions Bancorporation, N.A.",06/01/2019,7/23/2019,11,20826
Graeter's Ice Cream Company,December 30 2018 ,7/23/2019,23,6432
CoreVest American Finance Lender LLC,April 1 2020 ,7/23/2020,1,200
Kennebec Land Trust,February 7 2020 ,7/23/2020,1805,2649
Zippy Shell Incorporated,December 6 2018,7/24/2019,1,442
Intuit Inc.,March 21 2019,7/24/2019,1,1
Scrapbook.com LLC,06/14/2019,7/24/2019,10,1679
"Atrium Windows and Doors, Inc.",08/29/2019 ,7/24/2020,1,692
Ply Gem Residential Solutions,07/26/2019 ,7/24/2020,9,67563
Dynavax Technologies Corporation,2/28/2020,7/24/2020,1,882
Chalkstream Capital Group / Eversept Partners L.P.,Unsure,7/24/2020,1,115
Sage Financial Group,05/11/2019 ,7/26/2019,4,682
"CompuNet Clinical Laboratories, LLC",August 1 2018 ,7/26/2019,4,77682
"Robert W. Woodruff Arts Center, Inc.",02/10/2019 ,7/26/2019,4,2346
"ANSYS,Inc.",May 15 2019 ,7/26/2019,1,99
Owens Ear Center,05/28/2020,7/27/2020,2,19908
Select Express & Logistics,2/7/2020 ,7/27/2020,2,7936
Town of Babylon,02/04/2020,7/27/2020,2,5927
"Front Rush, LLC",01/18/2016 ,7/28/2020,32,61607
"Leone, McDonnell & Roberts",February 18 2020 ,7/28/2020,3,168
"OTR Leasing, LLC",01/14/2020 ,7/28/2020,47,21836
Discover Financial Services,6/30/2020,7/28/2020,7,1862
The Curators of the University of Missouri,04/16/2019 ,7/29/2019,1,92
"Trusted Tours & Attractions, LLC",March 24 2019,7/29/2019,221,50743
"Craft Beer Guild Distributing of Maine, LLC",5/22/2019 ,7/29/2019,22,1572
"Craft Beer Guild Distributing of Maine, LLC",5/22/2019 ,7/29/2019,22,1572
"Good Samaritan Hospital, Inc.",10/22/2019,7/29/2020,21,233835
Emanate Health,2/2/2020,7/29/2020,2,2
James Irwin Charter Schools,04/09/2020,7/29/2020,1,1097
SkinSolutions.MD LLC,April 19 2019,7/3/2019,22,9113
Evine Live Inc.,8/9/2017 ,7/3/2019,8,2425
"FlexCare, LLC",March 26 2019,7/3/2019,40,9701
"BioReference Laboratories, Inc.",08/01/2018 ,7/30/2019,1,6600
Marriott Starwood,7/28/2014,7/30/2019,110,19076
Lancaster Archery Supply,9/16/2017,7/30/2019,11,3268
Aetrex Worldwide,5/6/2018,7/30/2019,9,828
Sonic Drive-In,4/1/2017,7/30/2019,1,3262
Sabre FOS,8/10/2016,7/30/2019,47,13911
The Credit Pros International,07/09/2016 ,7/30/2020,2,10753
"Cadwalader, Wickersham & Taft LLP",03/27/2020,7/30/2020,3,1404
"Empire Golf Management, LLC",02/04/2020 ,7/31/2020,4,3983
Tupperware Ecommerce,3/1/2020,7/31/2020,1,351
Truefire.com,8/2/2019,7/31/2020,1,218
Nutribullet,1/3/2020,7/31/2020,1,509
American Outdoor Brands,4/17/2019,7/31/2020,24,496
Krystal,7/2/2019,7/31/2020,2,972
Inter-Continental Cigar Corporation,The affected site was taken offline on June 18 2019 and this closed the vulnerability. The affected site was launched on October 18 2018 and we are still investigating when the malicious code was injected to the site code.,7/5/2019,5,2516
Society for Industrial and Applied Mathematics,2/13/2020 ,7/6/2020,1,645
"Medical Depot, Inc., d/b/a Drive DeVilbiss Healthcare",05/27/2020,7/6/2020,1,1792
Federal Home Loan Mortgage Corporation,Unknown,7/7/2020,132,26287
Blu Dot Design & Manufacturing Inc.,06/04/2019 ,7/8/2019,1,122
"Claire's Stores, Inc.",04/07/2020 ,7/8/2020,236,60842
"Eshel, Aminov & Partners LLP",03/10/2019 ,7/8/2020,3,19946
Intrepid Benefits Colorado,2/19/2019,7/9/2019,1,2208
SkinSolutions.MD LLC,4/19/2019  ,7/9/2019,22,9113
The National Catholic Educational Association,4/10/2020,7/9/2020,2,91
"Czero, Inc.",April 2 2019,8/1/2019,1,99
Riggs Wealth Management,06/14/2019 ,8/1/2019,1,607
State Farm Mutual Automobile Insurance Company,07/06/2019,8/1/2019,17,6648
Dent Wizard International,January 22 2020 ,8/10/2020,29,10434
"Cooke County, Texas",07/04/2020,8/10/2020,1,5017
"Ameriprise Financial, Inc.",7/22/2020,8/11/2020,2,307
"Wind River Environmental, LLC",11/29/2018,8/12/2019,2,593
Capital One,March 22 2019 ,8/12/2019,5438,114385
Douglas Products,03/26/2020 ,8/12/2020,1,515
The Latin School of Chicago,May 1 2020,8/12/2020,1,1880
"City of Athens, OH",12/19/2019 ,8/12/2020,7,15101
"Ameriprise Financial, Inc.",7/15/2020,8/12/2020,1,1601
StockX LLC,May 14 2019,8/13/2019,3803,6800000
