Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
OniaLLC,6/6/2017,11/12/2016,3,619
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
OpenTextCorporation,7/6/2017,6/25/2017,1,300
OrchardsInn,8/31/2017,8/10/2016,10,742
OrthopaedicsIndianapolisInc,12/29/2016,8/3/2016,1,1
OutriggerHotelsHawaii,7/21/2017,8/10/2016,3,221
OwenCountyStateBank,9/7/2017,7/14/2017,3,3
"PacificaHotelManagement,LLC",8/11/2017,8/10/2016,51,8179
PacificLutheranUniversity,4/18/2017,1/23/2017,1,955
PacificQuest,4/27/2017,1/30/2017,1,319
PacificScienceCenter,7/12/2017,6/13/2017,1,661
PalmBayInternational,2/24/2017,1/17/2017,1,362
PathGroup,12/30/2016,1/29/2016,46,1452
PatrickIndustries,2/13/2017,2/3/2017,6303,7960
"PaulStuart,Inc.",,,,
"PaulStuart,Inc.",6/14/2017,5/15/2017,40,7972
PayLeaseLLC,4/7/2017,2/23/2017,1,267
"PaySystemsofAmerica,Inc.",3/3/2017,2/6/2017,27,148
PCASkin,2/28/2017,2/22/2017,1,164
"PeachtreeNeurologicalClinic,P.C.",7/6/2017,2/1/2016,72,176295
"PenservPlanServices,Inc.",3/28/2017,2/26/2017,,
PeopleforPeople,3/15/2017,10/20/2016,2,857
PerfectlyPoshLLC,2/14/2017,2/10/2017,1,288
PerformantFinancialCorporation,8/11/2017,1/27/2017,1,2889
PikeLumberCo,1/27/2017,1/24/2017,269,269
"PlasticMoldingsCompany,LLCandPMCSMARTSOLUTIONSLLC",2/10/2017,1/18/2017,34,47
prAna,3/8/2017,12/14/2016,3778,391484
"PrattIndustries,Inc.",5/1/2017,4/19/2017,672,7569
"PreferredHotelGroup,Inc.",7/14/2017,8/10/2016,844,
PrincetonUniversity,3/23/2017,12/1/2016,1,97
PrincipalLifeInsuranceCompany-SecurityBreach,3/14/2017,2/22/2017,4,114
PrincipalLifeInsuranceCompany-SecurityBreach,2/3/2017,1/18/2017,1,46
PrincipalLifeInsuranceCompany-SecurityBreach,6/2/2017,5/25/2017,1,1
"ProfessionalBusiness&TaxConsultingServices,Inc.",4/8/2017,2/18/2017,22,1664
"ProScanImaging,LLC",3/2/2017,,35,
"Pro-Vigil,Inc.",3/15/2017,3/13/2017,2,237
PrudentialInsuranceCompanyofAmerica,4/11/2017,1/9/2017,1,9
PSAAirlines,12/29/2016,9/6/2016,45,2707
"PulmoRehab,LLC",2/10/2017,2/3/2017,9,2030
"PulteMortgage,LLC",9/6/2017,7/22/2017,13,268
"PunchBowl,LLC",5/19/2017,3/8/2017,268,2301
PurdueUniversity,2/3/2017,1/1/2016,1,1
"PurityCylinderGases,Inc.andAirwayOxygen,Inc.",5/25/2017,4/18/2017,14099,497020
PVHS-ICM Employee Health and Wellness LLC,6/30/2017,5/4/2017,19,
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
QBE,8/15/2017,5/31/2017,6,418
"QualiChem,Inc.",3/9/2017,2/13/2017,1,84
QuantumHealth,3/17/2017,2/22/2017,1,737
"QuenchUSA,Inc.",3/29/2017,2/10/2017,1,568
QuestDiagnostics,3/27/2017,2/14/2017,1,1
R&ADesignd/b/aUnisonHome,1/6/2017,5/16/2016,6,1500
R.J.O'Brien&Associates,3/20/2017,,2,23
RandMcNally,3/20/2017,9/1/2016,11,600
RandMcNally,5/5/2017,4/12/2016,529,21237
"RayAllen,Inc.",3/13/2017,2/21/2017,2,
"RealTruck,Inc.",3/17/2017,1/22/2017,1,43
"RedRoofInns,Inc.",8/29/2017,8/10/2017,122,4942
"RefundAdvantage,adivisionofMetaBank",3/21/2017,2/14/2017,5,4147
RehabilitationHospitalofIndiana,3/30/2017,7/5/2016,1,1
RehabilitationHospitalofIndiana,3/30/2017,3/1/2016,1,1
RehabilitationHospitalofIndiana,3/30/2017,12/15/2016,30,30
ReidHealth,4/12/2017,,2,2
REIHoldingCo.,4/20/2017,3/6/2017,1,638
"RemingtonLodging&Hospitality,LLC",7/18/2017,8/10/2016,154,
RepublicBankCorporateCenter,5/4/2017,,39,32600
RevlonConsumerProductsCorporation,6/6/2017,4/24/2017,1,149
"RichardE.Munoz,CPA",9/20/2017,8/24/2017,2,564
"Ricoh USA, Inc.",5/18/2017,,2,114
RiteAidCorporation,5/17/2017,1/30/2017,113,18680
"RJD,LLCd/b/aGuardianTechnologies,LLC",6/7/2017,4/18/2017,1,
Road&RailServices,3/8/2017,3/3/2016,211,2221
"RobertsHawaii,Inc.",2/24/2017,7/30/2015,217,30180
ROCORealEstateLLC,8/18/2017,8/10/2017,30,755
Rod'sWesternPalace,2/24/2017,10/11/2016,876,
RoundPointMortgageServicingCorporation,8/14/2017,7/27/2017,1,18
"RussellInvestmentsGroup,LLC",3/7/2017,2/22/2017,2,1580
"Rutherford,MacDonald&OlsonP.C.",8/18/2017,3/1/2017,1,6000
"SaddleRidgePartners,LLC,dbaWizardLabs",8/7/2017,5/25/2017,109,4062
SafariLtd.,1/4/2017,10/10/2016,2,69
SageHospitalityLLC,7/18/2017,8/10/2016,2,
SaintGobainCorporation,4/13/2017,4/1/2016,4,143
Saint-GobainCorporation,7/24/2017,8/10/2016,2,50
SaintMaryoftheWoodsCollege,6/29/2017,6/6/2017,2,2
SalinaFamilyHealthcareCenter,8/16/2017,6/18/2017,54,77337
SaltHotelsLLC,7/28/2017,8/10/2016,unknown,3400
SanDiegoChristianCollege,2/13/2017,2/6/2017,1,361
"Sarnova,Inc.",3/30/2017,1/20/2017,5,720
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
"SBEENTHoldings,LLC",7/17/2017,8/10/2016,,80000
"ScholarChipCard,LLC",1/27/2017,12/2/2016,588,7229
SchurmanFinePapersdbaSchurmanRetailGroup,3/21/2017,1/18/2017,30,2652
ScientificGamesCorporation,5/17/2017,5/3/2017,1,280
ScivationInc.,3/24/2017,1/25/2017,1,70
"Scotty'sHoldings,LLC",1/31/2017,1/30/2017,2941,3521
"ScoutEnergyManagement,LLC",5/30/2017,4/17/2017,16,6658
"SEKOWorldwide,LLC",2/15/2017,2/2/2017,1,256
SharedImaging,2/2/2017,1/31/2017,4,197
"ShockDoctor,Inc.",5/1/2017,9/5/2016,42,2420
"ShoeStation,Inc.",8/8/2017,4/27/2017,31,3379
"Showpay,LLC",2/10/2017,1/30/2017,4,1230
ShowTix4U,3/29/2017,12/11/2016,164,27833
"SignatorInvestors,Inc.",9/19/2017,6/8/2017,17,7408
"SignatureHardware,Inc.",6/2/2017,4/28/2017,74,5130
SiriusXMRadioInc,9/7/2017,8/9/2017,2,76
"SixContinentsHotels,Inc.",4/14/2017,9/29/2016,26568,1043686
SkyClimberAccessSolutionsAtlantaLLC,2/6/2017,1/23/2017,21,1536
"SoleraHolding,Inc.",3/31/2017,,4,
"SolutionsIQ,Inc.",3/9/2017,2/28/2017,2,211
"SoutheasternEmergencyPhysiciansofMemphis,LLC",4/25/2017,3/11/2017,1,1
SouthernIllinoisHospitalServices,6/23/2017,2/13/2017,1,613
SouthernTide,6/15/2017,4/27/2017,32,4315
SparkPayOnlineStore,7/6/2017,4/10/2017,374,
"Spiraledge,Inc.",1/12/2017,5/2/2016,8431,426623
"SportsMem,Inc.",7/18/2017,10/12/2016,617,32461
"SpringInsuranceSolutions,LLC",9/5/2017,4/3/2017,1,
SRIInternational,9/8/2017,7/26/2017,25,10831
St.LucieCounty,4/11/2017,3/9/2017,1,
St.Mary'sHealth,2/27/2017,2/9/2017,2,2
St.Mary'sHealth,5/1/2017,4/12/2017,1,1
St.VincentDunnHospital,2/27/2017,1/10/2017,1,1
"St.VincentKokomoHospital,Inc.",3/7/2017,2/17/2017,1,1
StandardInternationalManagementLLC,7/21/2017,8/10/2016,29,8155
StarwoodPropertyTrustandStarwoodMortgageCapital,7/7/2017,5/17/2017,1,
State o. Indiana,10/10/2017,1/2/2017,9,4277
State o. Indiana,11/13/2017,7/7/2017,200,"387,500"
State o. Indiana,10/24/2017,10/11/2017,7,414
State o. Indiana,10/19/2017,3/17/2017,3,618
State o. Indiana,10/16/2017,9/26/2017,31,32
State o. Indiana,12/15/2017,9/5/2015,2,328
State o. Indiana,11/10/2017,4/13/2017,6,
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
State o. Indiana,11/9/2017,6/2/2017,96,3138
State o. Indiana,11/15/2017,8/11/2017,13,1376
State o. Indiana,12/19/2017,9/28/2017,9,839
State o. Indiana,10/11/2017,7/21/2017,24,1658
State o. Indiana,10/10/2017,9/10/2017,1,38
State o. Indiana,12/4/2017,8/1/2017,6,311
State o. Indiana,11/27/2017,10/2/2017,12,1016
State o. Indiana,11/8/2017,10/18/2016,23,2267
State o. Indiana,12/6/2017,7/2/2017,3,1847
State o. Indiana,11/30/2017,8/22/2017,1,143
State o. Indiana,9/29/2017,7/25/2017,51,33000
State o. Indiana,10/16/2017,10/13/2017,1,1
State o. Indiana,10/5/2017,9/4/2017,3,12273
State o. Indiana,10/5/2017,8/28/2017,2,555
State o. Indiana,10/6/2017,11/12/2016,336,127310
State o. Indiana,10/6/2017,4/11/2014,7,1069
State o. Indiana,12/1/2017,10/3/2017,2,3284
State o. Indiana,12/10/2017,11/14/2017,2113,2113
State o. Indiana,11/29/2017,7/1/2015,155,"12,003"
State o. Indiana,11/22/2017,11/9/2017,1,87
State o. Indiana,11/2/2017,10/5/2017,,1
State o. Indiana,11/30/2017,11/28/2017,1,1
State o. Indiana,12/14/2017,,7,784
State o. Indiana,11/15/2017,8/31/2017,20,22
State o. Indiana,12/15/2017,9/20/2014,82,"1,600,000"
State o. Indiana,12/19/2017,4/20/2017,1,336
State o. Indiana,10/31/2017,10/27/2017,4,4
State o. Indiana,12/8/2017,6/2/2017,2,1120
State o. Indiana,10/12/2017,9/21/2017,3,3
State o. Indiana,10/25/2017,8/25/2017,1,1
State o. Indiana,10/25/2017,9/28/2017,4,4
State o. Indiana,10/9/2017,8/30/2017,1,1
State o. Indiana,12/8/2017,,805,"23,072"
State o. Indiana,11/13/2017,6/18/2017,2302,"178,498"
State o. Indiana,11/13/2017,,1,2225
State o. Indiana,9/25/2017,4/24/2017,14,1070
State o. Indiana,,8/30/2017,59,"9,306"
State o. Indiana,11/30/2017,9/11/2017,10,1146
State o. Indiana,10/5/2017,9/6/2017,1,31
State o. Indiana,12/6/2017,7/3/2017,1,1012
State o. Indiana,11/2/2017,10/3/2017,3,61
State o. Indiana,10/31/2017,5/15/2017,10,2100
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
State o. Indiana,10/17/2017,9/27/2017,1,6003
State o. Indiana,10/12/2017,3/18/2017,97,"24,599"
State o. Indiana,12/1/2017,8/30/2017,41,"12,833"
State o. Indiana,11/28/2017,10/17/2017,16,282
State o. Indiana,11/8/2017,7/2/2017,,
State o. Indiana,,10/28/2017,,
State o. Indiana,12/5/2017,8/21/2017,1,1
State o. Indiana,10/20/2017,9/5/2017,44,48
State o. Indiana,12/14/2017,10/1/2016,78,3389
State o. Indiana,9/7/2017,5/29/2017,48,2691
State o. Indiana,,9/12/2017,2,2
State o. Indiana,12/1/2017,6/15/2016,456,"25,218"
State o. Indiana,10/6/2017,7/1/2017,72,"6,488"
State o. Indiana,10/6/2017,7/1/2017,72,"6,488"
State o. Indiana,12/14/2017,11/27/2017,3,3
State o. Indiana,11/7/2017,9/14/2017,1,841
State o. Indiana,10/20/2017,8/5/2017,1,415
State o. Indiana,12/4/2017,10/19/2017,12,630
State o. Indiana,11/7/2017,6/26/2017,18,38427
State o. Indiana,9/5/2017,8/17/2017,8,3788
State o. Indiana,12/12/2017,7/27/2017,7,14
State o. Indiana,12/13/2017,8/8/2017,1,218
State o. Indiana,10/24/2017,,5,366
State o. Indiana,12/18/2017,6/6/2017,13,1249
State o. Indiana,12/15/2017,9/5/2017,1,565
State o. Indiana,10/11/2017,8/10/2016,1,224
State o. Indiana,11/3/2017,6/27/2017,2,109
State o. Indiana,9/1/2017,5/26/2017,5,"4,314"
State o. Indiana,10/9/2017,7/26/2017,1,135
State o. Indiana,10/20/2017,6/25/2017,6,45
State o. Indiana,11/14/2017,5/24/2011,93,572
State o. Indiana,11/8/2017,9/19/2017,,1
State o. Indiana,10/11/2017,3/1/2017,3,1733
State o. Indiana,10/14/2017,10/1/2017,1399,59320
State o. Indiana,11/29/2017,9/15/2017,86,173
State o. Indiana,10/5/2017,5/27/2017,904,"39,353"
State o. Indiana,11/28/2017,9/24/2017,2324,"32,000"
State o. Indiana,10/25/2017,7/19/2017,80,661
State o. Indiana,12/6/2017,9/7/2017,1,137
State o. Indiana,11/1/2017,8/25/2017,34,2010
State o. Indiana,9/27/2017,8/18/2017,573,4217
State o. Indiana,11/22/2017,9/18/2017,2,362
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
State o. Indiana,10/4/2017,8/22/2017,2,693
State o. Indiana,10/31/2017,,1,335
State o. Indiana,10/31/2017,6/4/2017,8,24999
State o. Indiana,12/15/2017,12/1/2017,3,145
State o. Indiana,12/6/2017,6/2/2017,932,3497
State o. Indiana,12/4/2017,8/4/2017,2,1389
State o. Indiana,10/30/2017,9/21/2017,1,1
State o. Indiana,11/13/2017,8/10/2016,89,969
State o. Indiana,10/6/2017,4/25/2017,778,"41,195"
State o. Indiana,10/13/2017,3/1/2017,1,3532
State o. Indiana,10/16/2017,1/1/2017,7,"13,412"
State o. Indiana,12/14/2017,10/29/2017,2,103
State o. Indiana,10/3/2017,9/7/2017,4172,"182,823"
State o. Indiana,12/12/2017,1/10/2017,1,1895
State o. Indiana,11/22/2017,10/13/2016,6480,600
State o. Indiana,10/20/2017,5/1/2017,35,1630
State o. Indiana,10/19/2017,7/25/2017,23,135
State o. Indiana,12/8/2017,9/13/2017,1,4995
State o. Indiana,,,,
State o. Indiana,10/5/2017,7/21/2017,19,822
State o. Indiana,10/23/2017,3/10/2017,,
State o. Indiana,11/3/2017,,60,"10,149"
State o. Indiana,10/31/2017,,2,954
State of Indiana,12/21/2017,10/5/2017,5,24
StateBankofLincoln,2/21/2017,1/3/2017,18,5598
StateFarmMutualAutomobileInsuranceCompany,6/21/2017,10/1/2016,1,1
StateFarmMutualAutomobileInsuranceCompany,11/23/2016,10/23/2016,1,58
StateFarmMutualAutomobileInsuranceCompany,3/2/2017,11/1/2015,3,10421
StateIndustrialProducts,8/4/2017,2/26/2017,1,294
StateStreetCorporation,8/18/2017,7/17/2017,6,693
"SteelTechnology,LLCd/b/aHydroFlask",7/25/2017,,261,40942
StoutStreetHospitality,7/28/2017,8/10/2016,46,
"stremlinevents,inc.",2/15/2017,2/7/2017,1,146
"Stroh,Johnson&CompanyLLP",2/14/2017,1/3/2017,8,5000
"SunbeltRentals,Inc.",5/8/2017,4/18/2017,1,
SunTrustBank,2/24/2017,11/2/2016,19,14616
"SusanD.Jarvis,CPA",3/8/2017,2/13/2017,1,316
SydellPartners,7/21/2017,8/10/2016,20,6037
SymetraLifeInsuranceCompany,3/2/2017,2/13/2017,1,1
SymetraLifeInsuranceCompany,3/2/2017,2/13/2017,1,1
"TaconicBiosciences,Inc.",3/9/2017,1/30/2017,54,665
TALXCorporation,8/28/2017,4/18/2016,1,369
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
TALXCorporation,7/21/2017,4/18/2016,31,3739
TALXCorporation,8/15/2017,2/4/2016,5,134
TALXCorporation,5/23/2017,1/4/2017,1322,40645
TALXCorporation,6/14/2017,5/3/2016,3,206
TALXCorporation,4/4/2017,,40,717
TALXCorporation,6/2/2017,4/19/2016,3,119
"TampaBaySurgeryCenter,Inc.",6/20/2017,5/4/2017,2,25842
"Tatcha,LLC",5/9/2017,,36,4300
TaylorUniversity,6/28/2017,4/17/2017,6,6
TaylorUniversity,8/23/2017,4/17/2017,77,197
TDBank-SecurityBreach,6/22/2017,4/28/2017,9,5152
TelcomInsuranceServicesCorp.,1/13/2017,,1,25
"Teletrac,Inc.andNavamWirelessNorthAmericaLimited",2/9/2017,2/1/2017,3,465
The Prudential Insurance Company of Amer,8/9/2017,6/22/2017,4,74
TheAIJ.SchneiderCompany,7/26/2017,12/21/2016,unknown,unknown
TheBicycleHotel&Casino,8/28/2017,8/10/2016,4,
TheBoeingCompany,2/10/2017,11/21/2016,15,35681
TheBridgewaterClub,,9/8/2016,,
TheCalmarkGroup,2/9/2017,1/9/2017,7,200
"TheChildren'sPlace,Inc.",4/4/2017,,3,
TheDomainHotel,8/28/2017,8/10/2016,2,
TheForumforYouthInvestment,6/8/2017,3/19/2017,4,643
TheGallivantTimesSquare,8/28/2017,8/10/2017,9,
"TheHonestKitchen,Inc.",2/14/2017,11/30/2016,106,6750
TheInternationalCouncilofShoppingCenters,9/15/2017,3/24/2017,137,12149
"Theisen'sSupply,Inc.",3/3/2017,2/1/2016,69,
TheNathanHaleInn&ConferenceCenter,8/28/2017,8/10/2016,2,
TheNeimanMarcusGroup,4/14/2017,12/26/2015,58,6494
"TheNeurologyFoundation,Inc.",9/1/2017,1/31/2017,1,12976
"ThereThinkGroup,Inc.",9/6/2017,7/11/2017,62,1860
"ThermoSpasHotTubProducts,Inc.",9/11/2017,9/1/2017,1,722
TheRooseveltHotel,8/28/2017,8/10/2016,31,
TheSandmanSantaRosa,7/21/2017,8/10/2016,3,938
"TheToppsCompany,Inc.",12/27/2016,7/30/2016,285,10380
"TheVanguardGroup,Inc.",7/10/2017,6/7/2017,1,1
"TheVanguardGroup,Inc.",4/5/2017,3/29/2016,1,1
"TheVanguardGroup,Inc.",,,,
"TheVanguardGroup,Inc.",8/11/2017,7/19/2017,1,1
"TheW.W.WilliamsCompany,LLC",8/8/2017,7/6/2017,1,57
TheWareGroup,8/11/2017,7/15/2017,2,742
"TICGums,Inc.",3/20/2017,2/27/2017,1,268
"TidewaterTransitCompany,Inc.",4/20/2017,,2,1952
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
TimberlandBank,8/31/2017,7/18/2017,1,6055
TimeWarnerInc.,7/20/2017,8/10/2016,2,1183
TorranceMemorialMedicalCenter,6/19/2017,4/18/2017,11,32499
TownofGalveston,5/1/2017,4/3/2017,84,84
"ToyotaMaterialHandlingMidwest,Inc.",3/20/2017,3/7/2017,152,
"TraditionsManagement,LLC",4/28/2017,3/15/2017,54,80
"TransPerfectGlobal,Inc.",2/10/2017,1/17/2017,7,4884
TriangleAssociates,2/23/2017,2/10/2017,1,152
TriTechSoftwareSystems,3/30/2017,2/16/2017,3,863
"TrojanBatterySales,LLC",5/30/2017,2/18/2017,2,132
"tronc,inc.",9/25/2017,,1,39
TRUEbenefitsLLC,8/14/2017,5/18/2017,11,2656
TrueNetCommunications,1/26/2017,1/20/2017,5,
TrumpHotelCollection,6/30/2017,8/10/2017,49,
"TwoRoadsHospitality,LLC",7/14/2017,8/10/2016,808,92467
TylerIndependentSchoolDistrict,3/8/2017,3/1/2017,1,4099
"TylerTechnologies,Inc.",3/13/2017,3/3/2017,23,7788
U.S.ResidentialGroupLLC,8/2/2017,3/23/2017,6,1226
UllicoInc.,5/19/2017,3/17/2017,1,47
UnionHospital,2/28/2017,1/13/2016,1,1
"Unique-Prescotech,Inc.",2/28/2017,2/14/2017,112,228
UnitedAirlines,7/6/2017,,4,841
"UnitedBenefitAdvisors,LLC",7/20/2017,5/31/2017,36,58
UnitedChurchHomes,4/5/2017,3/15/2017,13,2020
UnitedStatesCellularCorporation,6/27/2017,4/5/2017,4,1852
UniversalBusinessTeamLLC,6/15/2017,8/1/2016,15,679
UniversityofNewMexicoFoundation,5/15/2017,2/16/2017,72,23000
UrologyAustin,3/22/2017,1/22/2017,96,279663
USDepartmentOfLabor,,,3,3
"ValueEyecareNetwork,Inc.",7/21/2017,5/31/2017,1666,115581
"Vanner,Inc.",2/8/2017,1/30/2017,1,
VeoliaNorthAmerica,3/23/2017,1/26/2017,,
VeoliaNorthAmerica,2/24/2017,,63,
Verizon,7/19/2017,8/10/2017,2,225
VertexWireless,3/15/2017,2/21/2017,24,
"VHGFourthStreetSF,LLC",3/28/2017,2/26/2017,2,280
Viamedia,4/3/2017,3/30/2017,6,144
"VillageGreenHoldings,LLC",3/10/2017,2/10/2017,2,745
VirginAmerica,7/26/2017,,2,3230
"VirginHotelsChicago,LLC",7/21/2017,8/10/2016,34,916
VirginiaGiftBrands,3/27/2017,8/18/2016,104,4111
VisibleChanges,9/5/2017,7/28/2017,2,4172
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
VisionQuestEyecare,3/7/2017,,85628,85995
"ViskaseCompanies,Inc.",2/22/2017,1/30/2017,2,590
VTGroup,3/3/2017,,12,7359
VTIndustries,3/23/2017,2/8/2017,137,1884
"VWSEProductions,LLC",3/15/2017,1/23/2017,61,848
"W.FrankHarshaw&Associates,Inc.",4/19/2017,4/7/2017,49,298
"W.W.Grainger,Inc.",9/19/2017,8/23/2017,530,57992
WalkintheWordMinistry,6/29/2017,4/1/2017,572,14417
WarsawCommunitySchools,,,88,
WashingtonStateUniversity,6/9/2017,4/21/2017,1601,1118135
WashingtonUniversityinSaintLouisSchoolofMedicine,5/2/2017,12/2/2016,16,2047
"WeekendsOnly,Inc.",3/3/2017,2/1/2016,631,
WesleyanCollege,5/3/2017,4/10/2017,3,
WesternGrowersPensionTrust,2/13/2017,12/30/2016,1,952
WesternReserveGroup,7/28/2017,5/8/2017,109,
WestgateResortsLtd,7/28/2017,8/10/2017,138,15975
WestMusicCompany,3/3/2017,2/1/2016,1178,56335
WhitesResidentialFamilyServices,8/29/2017,1/18/2017,1,1
"Whitinger&Company,LLC",7/18/2017,1/29/2017,7886,9180
WildManey&ResnickLLP,4/21/2017,,1,5261
"WilliamE.Howe&Co.,CPAs",3/31/2017,6/22/2016,2,1831
WoodsideHotelsandResorts,7/26/2017,8/10/2016,18,7112
Wooster-AshlandRegionalCouncilofGovernments,8/10/2017,6/28/2017,324,23000
"WorldOmniFinancial,Corp.",6/6/2017,5/10/2017,1,853
WRJHoldingsLLCdbaClassicFirearms,9/1/2017,4/24/2017,266,10228
"XtantMedicalHoldings,Inc.",6/30/2017,6/1/2017,1,68
Yeo&Yeo,6/9/2017,3/9/2017,5,3491
YMCAofCentralKentucky,5/4/2017,12/17/2016,1,409
ZestDentalSolutions,3/14/2017,12/31/2013,92,4806
ZillowGroup,5/30/2017,5/9/2017,1,1912
ZymoResearchCorporation,8/23/2017,3/15/2017,77,7454
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
1800ContactsInc‐DataBreach,11/13/2018,10/10/2018,2,150
1873349OntarioInc‐DataBreach,11/30/2018,6/1/2016,114,"74,548"
1stMarinerBank,2/5/2018,9/21/2017,6,1500
44North‐DataBreach,9/25/2018,5/9/2018,8,242
4AsBenefitsonBehalfofEntitiesListedinExhibit1‐Data Breach,12/26/2018,12/6/2017,109,4711
9WHaloOpCoLPdbaAngelica‐DataBreach,6/7/2018,4/3/2018,2,201
A.S.K.ServicesInc.,1/25/2018,1/24/2018,34,229
ABCBusCompaniesInc,3/2/2018,2/16/2018,47,741
Abeles&Hoffman,2/13/2018,9/26/2017,1,237
AcademyMortgageCorporation‐DataBreach,8/31/2018,5/21/2018,3,357
ACECashExpressInc‐DataBreach,12/14/2018,10/27/2018,5,4360
ACTIVENetwork,2/23/2018,12/13/2016,8,207
AdelmanTravelSystemsInc‐DataBreach,10/18/2018,6/14/2018,1,48
AdjutantGeneralsOfficeofIndiana‐DataBreach,,,,
AdoptaHighwayMaintenanceCorporation‐DataBreach,12/6/2018,10/23/2018,2,405
"AdvancedGraphicProducts,Inc.dbaAdvanced‐Online",2/2/2018,4/29/2017,10,22.182
AdvancedMedicalReviewsLLC‐DataBreach,10/8/2018,9/1/2013,1,
AdvancedTechnologyGroup‐DataBreach,6/1/2018,10/1/2017,5,1020
AEIFundManagementInc‐DataBreach,9/28/2018,7/5/2018,9,833
Aetna,1/30/2018,,1,20
AetnaInc‐DataBreach,8/17/2018,3/7/2018,4,178
AffiliatedServiceProvidersofIndianaInc‐DataBreach,8/27/2018,6/6/2018,21,25
Aflac‐DataBreach,9/28/2018,9/8/2017,5,7366
AimbridgeHospitalityHoldingsLLC‐DataBreach,6/7/2018,1/8/2018,"1,129","77,587"
AirCanada‐DataBreach,8/29/2018,8/22/2018,3,"20,000"
AkinDohertyKlein&FeugePC‐DataBreach,5/8/2018,1/1/2018,1,334
AlabamaFarmCreditACA‐DataBreach,5/1/2018,,1,574
AlaskaAirlinesInc‐DataBreach,5/4/2018,10/1/2017,12,"4,102"
Allconnect‐DataBreach,4/2/2018,2/14/2018,2,"1,854"
AllStarDriverEducation‐DataBreach,4/4/2018,3/29/2018,4,37
AltonLane,1/11/2018,11/23/2016,4,1208
AmericanEsotericLaboratories‐DataBreach,4/20/2018,10/15/2017,36,"61,701"
AmericanHospitalityManagement,2/14/2018,11/6/2015,126,244
AmericanInstituteofAeronauticsandAstronautics‐DataBreach,8/7/2018,6/4/2018,13,671
AmericanNationalInsuranceCompany‐DataBreach,5/25/2018,3/27/2018,69,"3,790"
AmericanSocietyofAnesthesiologists‐DataBreach,4/23/2018,3/8/2018,6,819
AmeriFirstFinancialCorporation‐DataBreach,5/1/2018,,1,1
AmeriFirstHomeMortgage‐DataBreach,3/28/2018,,26,887
AmeripriseFinancialInc‐DataBreach,1/17/2018,11/1/2017,1,56
AmeripriseFinancialInc‐DataBreach,12/12/2018,11/11/2018,13,1513
AmeripriseFinancialInc‐DataBreach,8/30/2018,,1,11
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
AmeripriseFinancialInc‐DataBreach,6/5/2018,,1,1
AnchorFundLLC,3/9/2018,2/7/2018,1,485
ANEWRealty‐DataBreach,3/12/2018,3/8/2018,1,1
AngelesEquityPartnersLLC‐DataBreach,3/30/2018,3/1/2018,1,1
AnotherPlanetEntertainment‐DataBreach,9/27/2018,4/9/2018,6,3142
ApexBenefitsGroupInc‐DataBreach,8/30/2018,7/23/2018,5,6
AppliedPlanAdministrators‐DataBreach,3/29/2018,2/10/2018,313,"22,661"
AquaFinanceInc‐DataBreach,8/16/2018,4/23/2018,17,569
ArcadisUSInc‐DataBreach,4/16/2018,2/20/2018,4,47
ArcherDanielsMidlandCompany‐DataBreach,,10/10/2018,1,37
ArkansasChildrensHospital‐DataBreach,6/28/2018,11/7/2016,3,4075
ArrowElectricCompany‐DataBreach,5/25/2018,2/22/2018,39,251
ASCD,2/22/2018,2/20/2018,1,192
AscensusInc‐DataBreach,3/21/2018,2/14/2018,31,36
AscensusInc‐DataBreach,4/12/2018,3/19/2018,1,1
ASIConstructorsInc.,3/2/2018,1/31/2018,2,336
AthensFederalCommunityBank‐DataBreach,11/30/2018,8/21/2018,7,1093
ATIHoldingsLLC‐DataBreach,3/27/2018,1/9/2018,78,"34,665"
AtriumHospitality‐DataBreach,4/24/2018,4/1/2016,1,182
AustinFoamPlasticsInc‐DataBreach,8/3/2018,11/17/2017,1,66
AustinNicholsCoIncorporated‐DataBreach,4/9/2018,3/14/2018,1,37
AutismNewJerseyInc‐DataBreach,3/16/2018,1/12/2018,1,26
AutomatedPetCareProductsInc‐DataBreach,7/17/2018,11/9/2017,42,2693
AveannaHealthcare‐DataBreach,8/27/2018,8/14/2018,20,20
AXA Equitable Life Insurance Company,11/21/2018,11/1/2018,185,"33,700"
