BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
EyeMed Vision Care,06/24/2020,7/01/2020,09/28/2020,2153
Rand Worldwide,06/24/2020,06/24/2020,8/12/2020,1
"Administrative Advantage, LLC",06/23/2020,7/09/2020,04/16/2021,2
"Bannock County, Idaho",06/22/2020,06/30/2020,2/11/2021,9
Playhouse Square Foundation,06/22/2020,06/29/2020,12/11/2020,2
Forward Air Corporation,06/20/2020,06/26/2020,11/11/2020,2
Ontario Systems,06/19/2020,06/22/2020,12/31/2020,1
"MEDNAX Services, Inc.",06/17/2020,06/22/2020,12/16/2020,1671
The Deck Store,06/16/2020,7/09/2020,08/28/2020,20
Gravis Law PLLC,06/15/2020,06/16/2020,07/14/2020,16
Crozer-Keystone Health System,06/14/2020,06/15/2020,09/30/2020,9
"Braverman CPA, PC",06/13/2020,10/22/2020,8/06/2021,14
Stampin' Up,6/12/2020,11/17/2020,05/14/2021,25
"Freedom Spine & Pain Center (Alliance Spine and Pain Mgmt., PLLC)",6/12/2020,8/01/2020,09/30/2020,1
Clements Financial Services,6/11/2020,7/09/2020,03/25/2021,2
"Northpoint Recovery Holdings, LLC",6/11/2020,06/15/2020,11/13/2020,13
PULAU Corporation,6/11/2020,06/29/2020,08/28/2020,4
"Poulsen & Stowell, PLLC",6/11/2020,07/22/2020,08/25/2020,2
Lorien Health Services,6/06/2020,6/10/2020,07/16/2020,1
Ardent Credit Union,6/05/2020,6/05/2020,01/28/2021,14
International Union of Bricklayers and Allied Craftworkers,6/04/2020,7/10/2020,12/30/2020,154
VOXX International,6/04/2020,7/07/2020,09/28/2020,3
Arthur J. Gallagher & Co.,6/03/2020,09/26/2020,06/30/2021,"9,131"
"Readerlink Distribution Services, LLC",6/03/2020,06/13/2020,06/16/2020,25
Borough of Haledon Police Department,6/02/2020,7/10/2020,8/12/2021,2
SapphireFoxxBeyond.com,6/01/2020,12/12/2020,01/26/2021,5
Claremont Lincoln University,6/01/2020,7/02/2020,12/15/2020,1
First Sonora Bank,6/01/2020,8/10/2020,11/20/2020,7
"City of Bettendorf, Iowa",6/01/2020,7/01/2020,10/28/2020,1
Hills Bank and Trust Company (Hills Bank),6/01/2020,7/01/2020,10/01/2020,1
Radnet,6/01/2020,07/18/2020,09/18/2020,3
First Bank,05/30/2020,4/02/2020,10/20/2020,1
Columbia College Chicago,05/30/2020,06/24/2020,07/15/2020,1
Owens Ear Center,05/28/2020,05/28/2020,07/27/2020,3
"Nutranext (neocell.com, naturalvitality.com, rainbowlight.com)",05/27/2020,8/03/2020,9/02/2020,81
Portland State University Foundation,05/26/2020,7/01/2020,4/06/2021,1
"Art Resource, Inc. & Artists Rights Society",05/26/2020,05/26/2020,08/21/2020,1
Behavioral Health Network,05/26/2020,05/28/2020,8/07/2020,3
Crestline Hotels & Resorts,05/25/2020,05/27/2020,4/02/2021,1
Manson Construction Co.,05/24/2020,05/24/2020,03/18/2021,9
"Collabera, Inc.",05/24/2020,6/08/2020,7/09/2020,14
American Federation of Musicians and Employers’ Pension Fund,05/22/2020,08/18/2020,1/11/2021,5
American College of Emergency Physicians,05/21/2020,09/22/2020,11/16/2020,9
Milestone Electric,05/21/2020,05/26/2020,10/01/2020,1
Mountain Peaks Family Practice,05/21/2020,06/16/2020,07/20/2020,1
Transform SR Holding Management LLC,05/20/2020,12/16/2020,3/12/2021,1
Highpoint Foot & Ankle Center,05/20/2020,07/20/2020,07/20/2020,1
Linfield University,05/19/2020,8/07/2020,12/03/2020,1
Kitsap Credit Union,05/19/2020,08/17/2020,11/30/2020,6
Assured Imaging,05/19/2020,8/11/2020,08/31/2020,94
Texell Credit Union,05/18/2020,05/18/2020,9/03/2020,48
"CBRE, Inc.",05/18/2020,6/08/2020,06/26/2020,2
"CBRE, Inc.",05/18/2020,6/08/2020,6/29/2020,2
"Dynasplint Systems, Inc.",05/16/2020,6/04/2020,8/07/2020,48
Mercy Iowa City,05/15/2020,06/24/2020,10/03/2020,14
Arbor Financial Credit Union,05/15/2020,10/20/2020,11/06/2020,9
Capital One,05/15/2020,06/16/2020,08/19/2020,1
Joslin Diabetes Center,05/14/2020,05/20/2020,09/20/2020,20
Northern Light Health,05/14/2020,05/20/2020,09/14/2020,54
Shattuck-St. Mary’s School,05/13/2020,05/15/2020,1/08/2021,1
"Williams Hart Boundas Easterby, LLP",05/13/2020,07/28/2020,08/28/2020,48
Noveske Rifleworks,05/13/2020,05/13/2020,9/04/2020,1
American Payroll Association,05/13/2020,07/13/2020,9/01/2020,15
"B&C Mechanical Services, LLC",05/13/2020,6/05/2020,07/23/2020,1
Ardeo Education Solutions,5/11/2020,7/02/2020,08/19/2020,1
WESTECH International Inc.,5/10/2020,5/10/2020,06/19/2020,31
"Kroto Inc., d/b/a iCanvas",5/10/2020,05/28/2020,06/24/2020,26
BHHS Legacy Foundation,5/08/2020,5/08/2020,6/05/2020,3
"Robie & Matthai, APC",5/07/2020,5/07/2020,11/16/2020,1
Pacific Life Insurance Company,5/07/2020,5/12/2020,05/29/2020,1
"Fein, Such, Kahn & Shepard, P.C.",5/06/2020,5/06/2020,12/10/2020,1
Premier Health Partners,5/05/2020,06/16/2020,10/02/2020,16
"Full House Resort, Inc.",5/05/2020,08/18/2020,08/27/2020,5
"ProPath Services, LLC",5/04/2020,09/14/2020,3/04/2021,2
"Setuno, Inc. (Shopping Cart Elite)",5/04/2020,5/11/2020,2/10/2021,7
"InSight Regroup Holdings, Inc.",5/04/2020,06/17/2020,10/09/2020,1
UCare,5/04/2020,5/04/2020,09/22/2020,1
University of Missouri Health Care,5/04/2020,5/06/2020,10/17/2020,39
"Bregante + Company, LLP",5/04/2020,06/26/2020,8/04/2020,1
Hydro Resources Holdings,5/04/2020,07/14/2020,07/31/2020,1
Cargolux Airlines International SA,5/04/2020,06/25/2020,07/24/2020,1
"Amphastar Pharmaceuticals, Inc.",5/02/2020,07/24/2020,08/28/2020,2
"Wipfli, LLP",5/02/2020,5/04/2020,09/24/2020,43
"First Pacific Advisors, LP (FPA)",5/02/2020,5/05/2020,9/02/2020,1
"The Neiman Marcus Group, LLC",5/01/2020,05/30/2020,09/30/2021,"4,027"
Ives Sultan & Spike CPAs,5/01/2020,10/01/2021,09/16/2021,1
Shorecrest Preparatory School,5/01/2020,05/21/2020,01/26/2021,1
National Park Foundation,5/01/2020,05/31/2020,1/08/2021,1
Wayne State Foundation,5/01/2020,05/31/2020,01/13/2021,141
University School of Nashville,5/01/2020,05/31/2020,12/31/2020,1
"AB Staffing Solutions, LLC",5/01/2020,06/30/2020,12/01/2020,32
Bridgewater State University,5/01/2020,06/16/2020,08/28/2020,5
REI Co-op,5/01/2020,05/13/2020,09/16/2020,11
Salem State University,5/01/2020,5/01/2020,09/14/2020,3
Polycystic Kidney Disease Foundation,5/01/2020,5/01/2020,9/04/2020,824
Vermont Student Assistance Corporation,5/01/2020,10/20/2020,10/04/2020,48
"Carestream Health, Inc.",5/01/2020,5/01/2020,5/08/2020,1
DLL Finance LLC,04/30/2020,5/08/2020,06/24/2020,2
Badger Daylighting Corporation,04/29/2020,06/25/2020,8/05/2020,9
People Incorporated,04/28/2020,5/04/2020,11/06/2020,1
"Weber & Vanorio CPA's, P.C.",04/28/2020,05/29/2020,7/01/2020,"2,389"
Norton LifeLock,04/28/2020,04/28/2020,05/18/2020,1
Yellowstone Hospitality Inc. / Loomis Enterprises Inc.,04/27/2020,04/27/2020,06/25/2020,20
"Scott R. Bell, CPA, PLLC",04/26/2020,04/28/2020,11/19/2020,1
FabFitFun,04/26/2020,8/03/2020,09/22/2020,281
US International Media (USIM),04/26/2020,5/09/2020,06/29/2020,1
Warner Music Group,04/25/2020,8/05/2020,9/02/2020,310
Hi-Crush Inc.,04/24/2020,04/24/2020,03/18/2021,2
Rydex Marketing LLC,04/24/2020,6/07/2020,10/29/2020,6
Prime Advantage LLC,04/24/2020,6/07/2020,10/29/2020,9
Herbal Research Inc.,04/24/2020,6/07/2020,10/29/2020,5
Health Formula Inc.,04/24/2020,6/07/2020,10/29/2020,65
Flux Group LLC,04/24/2020,6/07/2020,10/29/2020,12
First Logic Marketing LLC,04/24/2020,6/07/2020,10/29/2020,9
Equascope LLC,04/24/2020,6/07/2020,10/29/2020,9
EdgeStone LLC,04/24/2020,6/07/2020,10/29/2020,8
Dynamic Distributors LLC,04/24/2020,6/07/2020,10/29/2020,1
"Blue Sphere, LLC",04/24/2020,6/07/2020,10/29/2020,10
H&R Block,04/24/2020,06/25/2020,07/31/2020,
Coldwell Banker Brown Realtor (Brown),04/23/2020,04/29/2020,10/01/2020,1
The Hatcher Agency,04/21/2020,04/21/2020,12/01/2020,7
"Ascend Clinical, LLC",04/21/2020,06/15/2020,08/19/2020,1
CodeMetro,04/21/2020,04/21/2020,06/19/2020,
Active Lifestyle Products & Services,04/20/2020,02/25/2021,4/05/2021,100
"Benefit Recovery Specialists, Inc.",04/20/2020,04/30/2020,7/02/2020,1
Indianapolis Public Schools,04/19/2020,04/19/2020,12/01/2020,1
Trinity Health,04/18/2020,05/16/2020,10/23/2020,4
Mercy Health Foundation,04/18/2020,5/07/2020,10/18/2020,24
Steel Partners Holdings L.P.,04/18/2020,04/29/2020,06/29/2020,159
"Coro Medical, LLC",04/17/2020,4/06/2021,08/27/2021,32
Geostabilization International,04/17/2020,06/27/2020,12/16/2020,4
"Quest Education, LLC",04/17/2020,04/17/2020,05/26/2020,2
American Express Travel Related Services Company,04/16/2020,04/18/2020,06/30/2020,3
Amtrak,04/16/2020,04/17/2020,05/29/2020,22
Wells Fargo,04/16/2020,04/16/2020,5/07/2020,1
Piedmont Cancer Institute,04/15/2020,05/20/2020,09/15/2020,1
"Sand Companies, Inc.",04/15/2020,04/16/2020,8/11/2020,20
Oaklawn Hospital,04/14/2020,04/15/2020,09/25/2020,1
"Stockpile, Inc.",04/14/2020,7/09/2020,8/03/2020,36
"GAIN Capital Group, LLC",04/14/2020,04/18/2020,06/22/2020,27
"US HealthCenter, Inc.",04/13/2020,06/30/2020,07/16/2020,5
EDP Renewables North America,04/13/2020,5/08/2020,06/30/2020,4
"Healthcare Fiscal Management, Inc.",4/12/2020,04/13/2020,07/21/2020,5
American Public Works Association,4/10/2020,07/13/2020,07/17/2020,2
"Sobel Westex, Inc.",4/10/2020,04/20/2020,7/01/2020,1
"Gustafson & Company, LLC.",4/10/2020,4/10/2020,05/21/2020,3
James Irwin Charter Schools,4/09/2020,04/16/2020,07/29/2020,1
Florida Orthopaedic Institute,4/09/2020,4/09/2020,06/22/2020,70
American College of Emergency Physicians,4/08/2020,09/21/2020,4/09/2021,4
Holiday Acquisition Holdings LLC,4/08/2020,5/09/2020,12/30/2020,8
NAFSA Association of International Educators,4/08/2020,05/15/2020,08/14/2020,2
Alameda-Contra Costa Transit District,4/07/2020,06/16/2020,3/11/2021,3
"Claire's Stores, Inc.",4/07/2020,6/12/2020,7/08/2020,119
Pennsylvania Bar Association,4/07/2020,04/21/2020,05/26/2020,1
"Cetera Financial Group, Inc.",4/06/2020,4/06/2020,08/21/2020,80
University of Utah,4/06/2020,4/07/2020,06/26/2020,43
Magellan Health Inc.,4/06/2020,4/12/2020,5/11/2020,823
Puget Sound Educational Services District,4/05/2020,8/06/2020,01/26/2021,27
Brooklyn Defender Services,4/03/2020,5/05/2020,12/10/2020,1
"Baylor Evnen, LLP",4/03/2020,4/03/2020,04/20/2020,1
Veritex Holdings,4/02/2020,04/27/2020,04/26/2021,9
Veritex Holdings,4/02/2020,04/27/2020,12/28/2020,8
Fairway Independent Mortgage Corporation,4/01/2020,01/20/2021,9/02/2021,30
"ALE Solutions, Inc.",4/01/2020,06/30/2020,1/08/2021,53
Universal Logistics Holdings,4/01/2020,6/10/2020,12/24/2020,20
"JPMorgan Chase Bank, N.A.",4/01/2020,04/30/2020,12/23/2020,2
"Seguros Underwriters, Inc.",4/01/2020,04/30/2020,10/28/2020,1
Accident Insurance Company,4/01/2020,04/30/2020,10/09/2020,1
Boeing Employees' Credit Unioin,4/01/2020,03/31/2020,6/09/2020,1
Great Southern Bank (Mississippi),4/01/2020,4/02/2020,8/07/2020,1
Parkview Medical Center,4/01/2020,05/15/2020,07/14/2020,1
Boeing Employees' Credit Union,4/01/2020,06/30/2020,7/09/2020,1
Acceler8,4/01/2020,4/01/2020,06/22/2020,1
McKinney & Company,4/01/2020,04/30/2020,6/02/2020,4
Gulf Coast State College (GCSC),03/31/2020,6/03/2020,09/29/2020,9
Raymond James,03/31/2020,4/05/2020,9/04/2020,4
"VanOrdern, Lund & Cannon, PLLC",03/31/2020,03/31/2020,6/01/2020,5
"Young, Molohan, Cohen & Durrett, LLP",03/31/2020,03/31/2020,06/22/2020,2
CBD Industries,03/30/2020,05/18/2020,02/23/2021,4
Angeion Group,03/30/2020,5/04/2020,12/04/2020,53
First National Bank of Elmer,03/30/2020,4/02/2020,08/20/2020,2
CBD Industries,03/30/2020,05/18/2020,09/29/2020,168
Shingobee Builders,03/27/2020,06/18/2020,10/07/2020,1
Mental Health Partners,03/26/2020,03/27/2020,08/21/2020,6
Douglas Products,03/26/2020,05/18/2020,8/12/2020,2
Gering Public Schools,03/25/2020,03/25/2020,03/24/2021,1
Latah County Idaho,03/25/2020,03/27/2020,8/07/2020,1
Daniel Bendetowicz MD PA,03/25/2020,03/25/2020,04/24/2020,2
Squar Milner LLP,03/25/2020,03/25/2020,04/17/2020,6
Goodspeed & Merrill d/b/a Rome LLC,03/23/2020,08/28/2020,01/22/2021,7
Hawkes Hastings & Aaron,03/23/2020,03/23/2020,6/01/2020,1
"Wealth Enhancement Group, LLC",03/22/2020,6/11/2020,07/22/2020,3
Woodlawn Dental Center,03/19/2020,03/19/2020,05/18/2020,1
Moorestown Visiting Nurse Association,03/19/2020,03/19/2020,5/07/2020,2
Lincoln Financial Advisors,03/19/2020,03/19/2020,04/16/2020,4
Kankakee Valley School Corporation,03/19/2020,03/19/2020,6/04/2020,2
Fredrikson & Byron,03/18/2020,03/26/2020,10/05/2020,5
Ameriprise Financial,03/18/2020,03/18/2020,4/02/2020,1
"Jim Geddings, CPA LLC",03/17/2020,03/17/2020,4/10/2020,5
Community Food Co-op,03/16/2020,03/16/2020,9/11/2020,56
Glacier Surgical Associates,03/16/2020,8/03/2020,08/25/2020,2
"Mat-Su Surgical Associates, APC",03/16/2020,03/16/2020,05/15/2020,15
"Windes, Inc.",03/13/2020,03/25/2020,07/28/2020,1
"Masterfeeds, Inc.",03/13/2020,03/13/2020,6/12/2020,8
Icahn Automotive Group LLC,03/13/2020,4/04/2020,5/06/2020,8
ExecuPharm Inc.,03/13/2020,03/13/2020,03/16/2020,1
Jamaica National Group Limited and Jamaica National Bank,03/13/2020,03/14/2020,03/30/2020,3
"The Hotel Group Holdings, LLC",3/12/2020,5/07/2020,10/15/2020,22
"Dick Blick Holdings, Inc.",3/11/2020,12/15/2020,9/01/2021,82
City of Philadelphia,3/11/2020,11/16/2020,04/14/2021,2
Washington State Bar Association,3/10/2020,11/12/2020,12/18/2020,18
NuVista Federal Credit Union,3/09/2020,3/09/2020,12/03/2020,37
Applications Software Technology LLC,3/09/2020,3/09/2020,03/16/2020,1
"Jasper Seating Company, Inc.",3/08/2020,3/09/2020,08/25/2020,1
Reedman Toll Auto World,3/08/2020,03/18/2020,05/13/2020,1
"Jackson, Murdo, & Grant, P.C.",3/07/2020,03/19/2020,09/21/2020,117
BJC Healthcare,3/06/2020,3/06/2020,6/12/2020,14
"Rogue & Co., LLC",3/06/2020,03/16/2020,05/29/2020,7
"Karr Barth Administrators, Inc.",3/06/2020,3/09/2020,6/11/2020,1
Matrix Absence Management,3/06/2020,03/13/2020,03/20/2020,1
The College of Health Care Professions,3/05/2020,10/03/2020,03/30/2021,2
St. Paul Center for Biblical Theology,3/03/2020,8/09/2020,10/02/2020,23
Woodruff Sawyer & Co.,3/02/2020,3/03/2020,11/09/2020,23
"Combe, Inc.",3/02/2020,04/13/2020,08/26/2020,8
Slate & Tell,3/01/2020,01/15/2021,4/02/2021,136
Reliant Federal Credit Union,3/01/2020,06/30/2020,2/02/2021,114
"TAM International, Inc.",3/01/2020,10/24/2020,01/29/2021,1
Evarts Termaine Flicker Co.,3/01/2020,04/15/2020,12/23/2020,1
"Bruce L. Boros, M.D., P.A. DBA Advanced Urgent Care",3/01/2020,3/01/2020,11/06/2020,37
City of Torrance,3/01/2020,3/01/2020,10/13/2020,8
Sisters of the Presentation of the Blessed Virgin Mary,3/01/2020,3/01/2020,04/30/2020,4
W.L. Contractors,02/29/2020,3/03/2020,03/30/2020,3
UW Health,02/28/2020,02/28/2020,04/23/2020,1
Keith Fabry (PDFPlotting.com),02/27/2020,8/09/2020,10/05/2020,20
Meridian Health Services Corp.,02/27/2020,02/27/2020,04/27/2020,7
"Bailard, Inc.",02/25/2020,3/05/2020,7/11/2020,2
"Shoup Manufacturing Company, Inc.",02/24/2020,02/24/2020,5/01/2020,1
Eagle Community Credit Union,02/24/2020,02/24/2020,06/23/2020,9
Coastal States Bank,02/22/2020,04/20/2020,07/24/2020,2
Grande Ronde Hospital,02/19/2020,02/19/2020,6/03/2020,4
The City of Fort Lauderdale,02/19/2020,02/19/2020,5/01/2020,2
Capital Brands,02/19/2020,03/17/2020,04/29/2020,8
Tellepsen,02/19/2020,02/19/2020,04/15/2020,1
The Nature Conservancy,02/19/2020,02/19/2020,03/17/2020,1
"JM Bullion, Inc.",02/18/2020,07/17/2020,10/28/2020,115
"Parkview Health System, Inc.",02/18/2020,02/19/2020,10/12/2020,4
Graham Hospital Association,02/18/2020,8/11/2020,10/07/2020,1
BankNorth,02/18/2020,07/17/2020,09/17/2020,6
Spencer Municipal Hospital,02/18/2020,02/18/2020,04/24/2020,1
Interstates,02/18/2020,02/18/2020,6/04/2020,2
Compass Health,02/18/2020,02/19/2020,05/26/2020,6
PCL Constructors Inc.,02/18/2020,02/19/2020,05/14/2020,7
"MBS Textbook Exchange, LLC",02/18/2020,02/21/2020,04/30/2020,6
"Fareway Stores, Inc.",02/18/2020,02/18/2020,04/16/2020,9
"MP Environmental Services, Inc.",02/18/2020,02/18/2020,04/15/2020,37
"BGGMC, LLC - Data Breach",02/18/2020,02/16/2020,03/13/2020,4
Tait Towers Manufacturing LLC,02/16/2020,4/06/2020,6/11/2020,
American College of Medical Genetics and Genomics,02/15/2020,04/28/2020,08/13/2020,1
Farmers & Merchants National Bank of Nashville,02/13/2020,05/15/2020,07/24/2020,1
"Wolff Principal Holdings, LP",02/13/2020,6/02/2020,07/17/2020,1
Society for Industrial and Applied Mathamatics,02/13/2020,04/24/2020,7/06/2020,3
"Timberline Billing Service, LLC",2/12/2020,3/04/2020,10/20/2020,1
Freeport Regional Healthcare Foundation,2/12/2020,02/13/2020,10/07/2020,19
Freeport Regional Healthcare Foundation,2/12/2020,02/13/2020,07/31/2020,1
The Northshore Utility District,2/12/2020,2/12/2020,4/01/2020,1
PupBox,2/11/2020,8/09/2020,10/02/2020,102
"Kline, Keppel & Koryak, P.C.",2/11/2020,6/03/2020,08/13/2020,83
"Würkforce, Inc.",2/11/2020,7/02/2020,8/03/2020,3
Florida Engineers Management Corporation,2/11/2020,4/01/2020,05/27/2020,1
Duben & Associates,2/11/2020,2/11/2020,05/26/2020,8
Osceola County,2/10/2020,02/27/2020,05/17/2021,2
"Alliant Security, Inc.",2/10/2020,2/12/2020,12/07/2020,1
"Gaming Arts, LLC",2/09/2020,03/27/2020,4/08/2021,3
Marines' Memorial Association & Foundation,2/07/2020,05/20/2020,4/06/2021,20
Chadron State Foundation,2/07/2020,05/20/2020,4/06/2021,114
Montana Technical University Foundation,2/07/2020,05/20/2020,4/02/2021,113
Christendom College,2/07/2020,05/20/2020,03/31/2021,5
Maryknoll School,2/07/2020,05/20/2020,03/24/2021,1
St. Agnes Academy (Blackbaud),2/07/2020,05/20/2020,03/24/2021,1
Xavier High School (Blackbaud),2/07/2020,05/20/2020,3/08/2021,2
La Jolla Country Day School (Blackbaud),2/07/2020,05/20/2020,3/02/2021,4
Denver Dumb Friends League (Blackbaud),2/07/2020,05/20/2020,02/24/2021,2
Holderness School,2/07/2020,05/20/2020,3/01/2021,7
International Medical Corps,2/07/2020,05/20/2020,02/26/2021,19
Trinity Christian College (Blackbaud),2/07/2020,05/20/2020,02/17/2021,1
Craig Hospital Foundation (Blackbaud),2/07/2020,05/20/2020,02/15/2021,1
The National WWII Museum,2/07/2020,05/20/2020,2/12/2021,1
Fort Hays State University Foundation (Blackbaud),2/07/2020,05/20/2020,2/12/2021,102
Laurel School (Blackbaud),2/07/2020,05/20/2020,2/10/2021,1
San Francisco Conservatory of Music (Blackbaud),2/07/2020,05/20/2020,01/29/2021,2
St. Andrew's-Sewanee School,2/07/2020,05/20/2020,01/28/2021,3
Hebron Academy,2/07/2020,05/20/2020,01/27/2021,1
Light of Christ Catholic Schools (Blackbaud),2/07/2020,05/20/2020,01/25/2021,6
St. Paul’s School (Blackbaud),2/07/2020,05/20/2020,01/21/2021,46
Fairmont Private School (Blackbaud),2/07/2020,05/20/2020,01/19/2021,2
Helen Keller International (Blackbaud),2/07/2020,05/20/2020,01/19/2021,2
Ronald McDonald House of Dallas (Blackbaud),2/07/2020,05/20/2020,01/14/2021,4
Wesleyan Christian Academy (Blackbaud),2/07/2020,05/20/2020,01/14/2021,2
Archer School for Girls,2/07/2020,05/20/2020,01/13/2021,3
New Hampton School,2/07/2020,05/20/2020,1/11/2021,3
Alzheimer’s Association (Blackbaud),2/07/2020,05/20/2020,1/11/2021,1
Hardin-Simmons University (Blackbaud),2/07/2020,05/20/2020,1/08/2021,5
Kents Hill School (Blackbaud),2/07/2020,05/20/2020,1/07/2021,2
"Florida Gulf Coast University Foundation, Inc. (Blackbaud)",2/07/2020,05/20/2020,1/04/2021,3
Notre Dame Preparatory School and Marist Academy,2/07/2020,05/20/2020,1/04/2021,1
Liberty Christian School (Blackbaud),2/07/2020,05/20/2020,12/30/2020,5
Darlington School (Blackbaud),2/07/2020,05/20/2020,12/30/2020,3
College of St. Scholastica (Blackbaud),2/07/2020,05/20/2020,12/29/2020,3
Beebe Medical Center (Blackbaud),2/07/2020,05/20/2020,12/24/2020,5
St. John’s Jesuit High School & Academy (Blackbaud),2/07/2020,05/20/2020,12/23/2020,2
Friends Seminary (Blackbaud),2/07/2020,05/20/2020,12/18/2020,3
St. Hilda’s & St. Hugh’s School (Blackbaud),2/07/2020,05/20/2020,12/16/2020,1
Foxcroft School (Blackbaud),2/07/2020,05/20/2020,12/11/2020,1
The National WWII Museum (Blackbaud),2/07/2020,05/20/2020,12/11/2020,2
Blair Academy (Blackbaud),2/07/2020,05/20/2020,12/09/2020,4
Madeira School (Blackbaud),2/07/2020,05/20/2020,12/04/2020,3
University of South Dakota Foundation (Blackbaud),2/07/2020,05/20/2020,12/04/2020,7
Florida State College at Jacksonville Foundation (Blackbaud),2/07/2020,05/20/2020,11/30/2020,51
Southern College of Optometry (Blackbaud),2/07/2020,05/20/2020,11/27/2020,4
Meals on Wheels of Albuquerque (Blackbaud),2/07/2020,05/20/2020,11/23/2020,1
Wisconsin Evangelical Lutheran Synod (Blackbaud),2/07/2020,05/20/2020,11/19/2020,13
Proctor Academy (Blackbaud),2/07/2020,05/20/2020,11/06/2020,1
Wheeler Mission (Blackbaud),2/07/2020,05/20/2020,11/19/2020,1
Hathaway Brown (Blackbaud),2/07/2020,05/20/2020,11/19/2020,1
Princeton Day School (Blackbaud),2/07/2020,05/20/2020,09/29/2020,1
The Bowery Mission (Blackbaud),2/07/2020,05/20/2020,11/17/2020,1
"Franciscan Health Foundation, Inc. (Blackbaud)",2/07/2020,05/20/2020,11/13/2020,5
Lakes and Prairies Community Action Partnership (Blackbaud),2/07/2020,05/20/2020,11/10/2020,1
St. Sebastian’s School (Blackbaud),2/07/2020,05/20/2020,8/11/2020,1
Planned Parenthood of Northern New England (Blackbaud),2/07/2020,6/04/2020,11/02/2020,1
Rady's Children's Hospital - San Diego,2/07/2020,6/04/2020,10/30/2020,6
"Special Olympics Wisconsin, Inc. (Blackbaud)",2/07/2020,05/20/2020,10/30/2020,5
The Latin School of Chicago,2/07/2020,05/20/2020,10/30/2020,1
OSF HealthCare System,2/07/2020,05/20/2020,10/19/2020,6
Greenfield Community College,2/07/2020,05/20/2020,10/19/2020,15
Stamford Hospital,2/07/2020,05/20/2020,10/15/2020,1
Lexington Theological Seminary (Blackbaud),2/07/2020,05/20/2020,10/13/2020,4
Lexington Theological Seminary (Blackbaud),2/07/2020,05/20/2020,10/13/2020,4
ADRA International (Blackbaud),2/07/2020,05/20/2020,09/29/2020,18
"ZERO, The End of Prostate Cancer (Blackbaud)",2/07/2020,05/20/2020,10/14/2020,11
The Thatcher School (Blackbaud),2/07/2020,05/20/2020,10/06/2020,4
Georgia Southern University (Blackbaud),2/07/2020,05/20/2020,10/09/2020,68
American Symphony Orchestra League (Blackbaud),2/07/2020,05/20/2020,10/05/2020,357
Stetson University (Blackbaud),2/07/2020,05/20/2020,10/02/2020,52
NorthShore University HealthSystem (Blackbaud),2/07/2020,05/20/2020,9/04/2020,10
Heifer Project International,2/07/2020,05/20/2020,08/21/2020,"1,850"
UWM - Foundation,2/07/2020,05/20/2020,08/20/2020,1
Enloe Medical Center (Blackbaud),2/07/2020,05/20/2020,9/10/2020,4
Saint Luke's Foundation,2/07/2020,05/20/2020,08/20/2020,62
Medical University of South Carolina (Blackbaud),2/07/2020,05/20/2020,9/11/2020,9
The Christ Health Hospital Network,2/07/2020,05/20/2020,09/14/2020,9
UnityPoint Health,2/07/2020,05/20/2020,09/14/2020,4
Perez Art Museum Miami (Blackbaud),2/07/2020,05/20/2020,9/05/2020,1
Scholarship America (Blackbaud),2/07/2020,05/20/2020,9/09/2020,4
The University of South Carolina Upstate Foundations,2/07/2020,05/20/2020,09/14/2020,3
Children's Home Society of Washington (Blackbaud),2/07/2020,05/20/2020,9/04/2020,2
Hydrocephalus Association (Blackbaud),2/07/2020,05/20/2020,9/04/2020,44
Children's Cancer Association,2/07/2020,05/20/2020,7/07/2020,1
World Vision U.S. (Blackbaud),2/07/2020,05/20/2020,08/27/2020,5
Atrium Health,2/07/2020,05/20/2020,9/01/2020,9
University of Florida Health,2/07/2020,05/20/2020,8/12/2020,11
"The City of Athens, Ohio",2/07/2020,7/02/2020,8/12/2020,9
Select Express & Logistics,2/07/2020,5/02/2020,8/04/2020,2
Youth Entrepreneurs,2/07/2020,05/20/2020,8/04/2020,44
Ketterer Company,2/07/2020,5/06/2020,06/24/2020,19
Community Development Bank,2/07/2020,03/26/2020,06/22/2020,6
Advantage Capital Funding,2/06/2020,3/06/2020,9/04/2020,26
"University of Maryland Faculty Physicians, Inc.",2/06/2020,2/11/2020,07/24/2020,3
"Empire Golf Management, Inc.",2/04/2020,03/21/2020,07/31/2020,1
Arkansas Teacher Retirement System,2/04/2020,2/04/2020,5/08/2020,6
"Rudnik Surety, Inc.",2/04/2020,03/18/2020,6/01/2020,1
District Medical Group,2/04/2020,2/10/2020,5/08/2020,4
Blue Cross Blue Shield Association,2/04/2020,2/05/2020,03/30/2020,5
University of Utah,2/03/2020,2/03/2020,05/19/2020,10
General Electric Company,2/03/2020,02/14/2020,03/20/2020,11
Northern Idaho Advanced Care Hospital,2/03/2020,2/08/2020,04/15/2020,12
Advanced Care Hospital of Southern New Mexico,2/03/2020,2/08/2020,04/15/2020,1
Advanced Care Hospital of Montana,2/03/2020,2/08/2020,04/15/2020,22
ENGIE North America Inc.,2/03/2020,2/03/2020,02/19/2020,1
"U.S. Restaurants, Inc.",2/02/2020,06/15/2020,07/21/2020,12
Archbishop Moeller High School,2/01/2020,07/16/2020,10/16/2020,1
