Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
"Epic Technologies LLC (subsidiary of NEO Tech), 9340 Owensmouth Ave., Chatsworth, CA 91311",2017-01-27,2017-02-10,2
"OmniGuide, Inc., 4 Maquire Road, Lexington, MA 02421",2017-01-31,2017-02-09,1
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",2017-01-31,2017-02-09,5
"Sweeney Drywall Finishes Corp, 330 Codman Hill Road, Boxborough, MA 01719",2017-01-26,2017-02-07,2
AmTote International Inc.,2017-02-01,2017-02-07,1
"Berkeley College, 44 Rifle Camp Road, Woodland Park, NJ 07424",2016-12-31,2017-02-06,4
"Sunrun Inc., 595 Market Street, 29th Floor, San Francisco, CA 94105",2017-01-20,2017-02-02,4
"M. Stanley Metz & Company, Inc., 1 Washington Street, Melrose, MA 02176",2016-12-14,2017-02-01,2
"DBM Global, Inc., 3020 E. Camelback Road, Suite 100, Phoenix, AZ 85016",2017-01-07,2017-01-31,4
"ScholarChip Card, LLC, 6 Commercial Street, Hicksville, NY 11801",2016-12-02,2017-01-31,7
"Kuhana Associates, LLC, 3375 Koapaka Street, Suite B-256, Honolulu, HI 96819",2017-01-17,2017-01-30,1
"Communications Engineering Co., 405 Boyson Road, Hiawatha, IA 52233",2017-01-19,2017-01-30,1
"Honor Flight New England, 1193 Hooksett Road #2, Hooksett, NH 03106",2016-11-15,2017-01-25,22
"Accolade, Inc., 660 W. Germantown Pike, Suite 500, Plymouth Meeting, PA 19462",2017-01-17,2017-01-23,1
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",2017-01-10,2017-01-20,1
"Barproducts.com, Inc 2",2016-12-01,2017-01-17,4
Hilton,2016-12-01,2017-01-17,406
Holabird Sports,2016-12-01,2017-01-17,1
Jace Bloom,2016-12-01,2017-01-17,1
Naturalnews Store,2016-12-01,2017-01-17,2
Noodles & Company,2016-12-01,2017-01-17,7
Photobarn Photo Lab,2016-12-01,2017-01-17,10
Shannon Restaurant LLC,2016-12-01,2017-01-17,3
Silencer Shop,2016-12-01,2017-01-17,1
Wilderness Hotel and Resort,2016-12-01,2017-01-17,1
"Crossman Corporation, 7629 Routes 5 & 20, Bloomfield, NY 14469",2016-12-06,2017-01-06,1
"MED-PASS, Inc., One Reynolds Way, Dayton, OH 45430",2016-12-05,2017-01-04,2
"International Association of Sheet Metal, Air, Rail & Transport Workers, Sheet Metal Workers' Local Union No. 104, 2610 Crow Canyon Road, San Ramon, CA 94583",2016-10-03,2016-12-30,6
"CommonBond, Inc., 524 Broadway, 6th Floor, New York, NY 10012",2016-11-25,2016-12-29,12
"Safe for Home Products LLC, d/b/a Naturepedic, 16925 Pakr Circle Drive, Chagrin Falls, OH 44023",2016-10-28,2016-12-28,10
Acuatlanta.net,2016-11-01,2016-12-19,2
Banner Health,2016-11-01,2016-12-19,1
"Data Control Systemts, Inc.",2016-11-01,2016-12-19,9
DXE Medical Inc.,2016-11-01,2016-12-19,1
Gun Mag Warehouse,2016-11-01,2016-12-19,6
"Hairbow Center, LLC",2016-11-01,2016-12-19,1
HEI Hotels & Resorts,2016-11-01,2016-12-19,2
Hofbrauhaus St.Petersburg,2016-11-01,2016-12-19,1
Honig's,2016-11-01,2016-12-19,15
Palms Casino Buffet,2016-11-01,2016-12-19,1
Vitality Medical Inc.,2016-11-01,2016-12-19,6
"Claremont University Consortium, 101 South Mills Avenue, Claremont, CA 91711",2016-11-15,2016-12-22,4
"Western Union Financial Services, Inc., 12500 Belford Ave., Englewood, CO 80112",2016-07-01,2016-12-21,216
Yahoo Inc.,2016-08-13,2016-12-14,2863975
"Breville USA, Inc., 19400 S. Western Ave., Torrance, CA 90501",2016-12-01,2016-12-13,1
"Anchor Loans, 5230 Las Virgenes Road, Suite 105, Calabasas, CA 91302",2016-11-07,2016-12-09,1
"Baylor College of Medicine, One Baylor Plaza, Houston, TX 77030",2016-10-18,2016-12-06,2
"Gustafson & Wargo CPA's LLP, 3264 Seneca Turnpike, Canastota, NY 13032",2016-10-14,2016-12-02,2
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",2016-11-22,2016-12-02,1
"The LANG Companies, Inc., 20825 Swenson Drive, Waukesha, WI 53186",2016-09-01,2016-11-30,129
"State Street Bank & Trust Co., One Iron Street, State Street Channel Center, Boston, MA 02210",2016-07-16,2016-11-28,1
"Brennan Recupero Cascione Scungio and McAllister LLP, 362 Broadway, Providence, RI 02009",2016-08-15,2016-11-22,67
"Michigan State University, Hannah Administration Building, 426 Auditorium Road, Rom 494, East Lansing, MI 48824",2016-11-13,2016-11-22,NA
"Eye Institute of Marin/Kathryn Najafi-Tagol, MD, 4000 Civic Center Drive, Suite 200A, San Rafael, CA 94903",2016-07-26,2016-11-16,2
"Prime, Inc.,2740 N. Mayfair, Springfield, MO 65803",2016-10-20,2016-10-31,106
"International E-Z UP, Inc., 1900 Second Street, Norco, CA 92860",2016-09-30,2016-10-26,1
Harbortouch,2016-09-01,2016-10-24,18
Landry's Inc.,2016-09-01,2016-10-24,47
Lulus.com,2016-09-01,2016-10-24,2
Sally Beauty 005,2016-09-01,2016-10-24,105
"Borden Perlman Insurance, 250 Phillips Blvd, Suite 280, Ewing Township, NJ 08618",2016-07-07,2016-10-14,2
"Delta Career Education Corp, 99 Canal Center Plaza, Suite 501, Alexandria, VA 22314",2016-09-29,2016-10-13,2
"WRJ Holdings LLC, d/b/a Classic Firearms, 3305 Westwood Industrial Drive, Monroe, NC 28110",2016-09-26,2016-10-11,1
"Vaupell Holdings, Inc., 1114 N.W. 53rd Street, Seattle, WA 98107",2016-09-12,2016-09-30,1
"Scentlok Technologies, 1731 Wierengo Dr, Muskegon, MI  49442",2016-09-14,2016-09-27,1
American Medical ID,2016-08-01,2016-09-23,17
Bailey's Inc,2016-08-01,2016-09-23,44
CDs,2016-08-01,2016-09-23,2
Gun Mag Warehouse,2016-08-01,2016-09-23,3
HK Parts,2016-08-01,2016-09-23,3
Hyatt Hotels,2016-08-01,2016-09-23,79
Kalahari Resort,2016-08-01,2016-09-23,1
Longfield Gardens LLC,2016-08-01,2016-09-23,1
Penn National Gaming,2016-08-01,2016-09-23,2
SAS Shoes,2016-08-01,2016-09-23,1
The Clevelander Restaurant,2016-08-01,2016-09-23,3
Trusted Health Products,2016-08-01,2016-09-23,1
Wendy's,2016-08-01,2016-09-23,4
Wharton Farm,2016-08-01,2016-09-23,1
"IMX Medical Management, Inc., 1700 Paoli Pike, Malvern, PA 19355",2016-07-25,2016-09-23,1
"New Jersey Spine Center, 40 Main Street, Chatham, NJ 07928",2016-07-27,2016-09-21,3
"Stallcap & Associates, CPAs, 2595 Mission Street, Suite 300, San Francisco, CA 94110",2016-07-11,2016-09-21,7
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",2016-08-22,2016-09-15,1
"QR Lending, 555 Zor Shine Place, Suite 100, Madison, WI 53719",2016-06-29,2016-09-02,2
"State Farm, One State Farm Plaza, Bloomington, IL 61710",2016-03-09,2016-08-31,2
Athens Orthopedic Clinic,2016-06-14,2016-08-26,12
Exterran,2015-11-24,2016-08-25,1
"Toyota Financial Services, 19001 So. Western Ave, Privacy Compliance EF-12, Torrance, CA",2016-06-28,2016-08-22,NA
Casino Morongo,2016-07-01,2016-08-18,1
Eyebuydirect Inc,2016-07-01,2016-08-18,29
Noble House Hotels & Resorts,2016-07-01,2016-08-18,2
Rosen Plaza Hotel,2016-07-01,2016-08-18,17
TN Marketing  LLC,2016-07-01,2016-08-18,7
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",2016-08-03,2016-08-19,2
"Precision Pipeline, LLC, 3314 56th Street, Eau Claire, WI 54703",2016-07-25,2016-08-15,6
"Penn State Alumni Association, Hintz Family Alumni Center, University Park, PA 16802",2016-04-24,2016-08-10,1
"7-Eleven, Inc., 3200 Hackberry Road, Irving, TX 75063",2016-06-13,2016-08-09,25
"EBSCO Sign Group, LLC, 1400 8th Street North, Clanton, AL 35045",2016-07-16,2016-08-09,1
"TD Bank N.A., 9000 Atrium Way, Mounty Laurel, NJ 08054",2016-02-25,2016-08-04,9
"Nordic Consulting Partners, Inc., 740 Regent Street, Suite 400, Madison, WI 53715",2016-07-21,2016-08-01,4
"Pro Performance Sports, LLC, 2081 Faraday Ave, Carlsbad, CA 92008",2016-05-23,2016-07-29,5
"inVentiv Health Inc., 1 Van de Graaff Drive, Burlington, MA 01803",2016-06-02,2016-07-21,21
"Internet Chess Club, Inc., 5820 Forbes Ave., Suite 1, Pittsburgh, PA 15217",2016-04-01,2016-07-19,4
"Gamesa Wind US LLC, 1150 Northbrook Dr., Suite 150, Trevose, IN 19053",2016-06-17,2016-07-12,4
"Pennsylvania Lumbermens Mutual Insurance Company, 2005 Market Street, Suite 1200, Philadelphia, PA 19103",2016-06-16,2016-06-30,1
A-One Touch Registers,2016-05-01,2016-06-14,11
Central Payments Cpay,2016-05-01,2016-06-14,35
Cricketers,2016-05-01,2016-06-14,1
Department56Corner.com,2016-05-01,2016-06-14,1
Dinatouch,2016-05-01,2016-06-14,1
Discount Rubber Stamps,2016-05-01,2016-06-14,9
Dungarees LLC,2016-05-01,2016-06-14,20
In Vogue Incorporated,2016-05-01,2016-06-14,4
Incipio Technologies Inc.,2016-05-01,2016-06-14,1
KEH,2016-05-01,2016-06-14,1
Lighterusa.com,2016-05-01,2016-06-14,2
Missing Link Network (Ecellar),2016-05-01,2016-06-14,3
Rollie and Helens Musky Shop,2016-05-01,2016-06-14,1
Technology Marketing Inc.,2016-05-01,2016-06-14,7
"Crane Co., 100 First Stamford Place, Stamford, CT 06092",2016-06-07,2016-06-07,1
"Skylar quinn, 33 E. Pearl St, Nashua, NH03060",2014-05-14,2016-05-20,1
Single Digits,2016-05-17,2016-05-19,1
"USI, Inc., 200 Summit Lake Drive, Suite 350,Valhalla, NY  10595",2016-04-28,2016-05-19,3
"Curse, Inc., 100 Spectrum Center Drive, Ste. 450, Irvine, CA 92618",2016-04-11,2016-05-18,4
Sure Fit Inc.,2016-04-01,2016-05-12,16
Myadventurebooks.com,2016-04-01,2016-05-12,5
Heartland Brewery,2016-04-01,2016-05-12,2
Four Winds Casino,2016-04-01,2016-05-12,2
Elephant Bar,2016-04-01,2016-05-12,3
Discount Rubber Stamps,2016-04-01,2016-05-12,4
"NTT Data, P.O. Box 1122, Charlotte, NC 28201-1122; PO#122004A",2016-04-22,2016-05-04,NA
"Southern Michigan Bank & Trust (""SMBT""), 51 W. Pearl Street, Coldwater, MI 49036",2016-04-10,2016-05-09,5
"Leavitt Group, 216 South 22 West, Cedar City, UT 84720",2016-04-05,2016-05-03,1
"Brunswick Corporation, Illinois",2016-04-29,2016-05-05,12
"New Hampshire Distributors LLC, 65 Regional Drive, Concord, NH 03301",2016-04-06,2016-04-26,6
"Advanced International Marketing, 225 American Way, Monroe, OH 45140",2016-04-04,2016-04-26,263
"Behavioral Science Technology, Inc. (""BST"")",2016-04-19,2016-04-22,1
"doTERRA International, LLC",2016-03-01,2016-04-18,4349
"TMEIC Corporation and TMEIC International Corporation, 2060 Cook Drive, Salem, VA 24153",2016-03-09,2016-04-16,1
Discount Party Supplies,2016-03-01,2016-04-14,1
South 40 Restaurant,2016-03-01,2016-04-14,1
Tennis Express,2016-03-01,2016-04-14,6
"OnDeck Capital, Inc., 901 North Stuart Street, Suite 700, Arlington, VA 22203",2015-11-01,2016-04-11,12
"Staminus Communications, 4695 MacArthur Court, 11th Floor, Newport Beach, CA 92660",2016-03-10,2016-04-11,7
"Wynden Stark, dba GQR Global Markets/City Internships, 360 Madison Avenue, FL24, New York, NY 10017",2016-04-01,2016-04-07,1
"Midland Paper Packaging & Supplies, 101 E. Palatine Road, Wheeling, IL 60090",2016-04-04,2016-04-07,1
"Lime Energy Company, 4 Gateway Center, 4th Floor,Newark, NJ 07102",2016-03-24,2016-04-06,2
"The Whiting-Turner Contracting Company (""Whiting Turner""), 300 East Joppa Road, Baltimore, MD 21286",2016-03-08,2016-04-06,1
"Fallon Health- Ultra Benefits (Fallon Community Health Plan, Inc.), One Chestnut Place, 10 Chestnut Street, Worcester, MA 01608",2016-03-28,2016-04-01,5
"BH Equities, LLC, 400 Locust Street, Suite 790, Des Moines, IA 50309",2016-03-21,2016-04-01,2
"Unified Physician Management, 1501 Yamato Road, Suite 200, Boca Raton, FL 33431",2016-03-09,2016-03-31,1
"Universal Service Administrative Company (""USAC""), 2000 L Street NW, Suite 200, Washington, DC 20036",2016-03-24,2016-03-31,1
"Pivotal Software, Inc., 3495 Deer Creek Road, Palo Alto, CA 94304",2016-03-22,2016-03-30,1
"Mansueto Ventures LLC, 250 Greenwich Street 29th Floor, New York, NY 10007",2016-02-26,2016-03-30,2
IASIS Healthcare,2016-03-21,2016-03-29,NA
"ITHAKA, 2 Rector Street, 18th Floor,New York, NY 10006",2016-03-20,2016-03-29,NA
"Olympic Steel, Inc., 22901 Millcreek Boulevard, Suite 650, Highland Hills, Ohio 44122",2016-03-18,2016-03-24,1
"DSCI, LLC, 303 Wyman Street, Suite 260, Waltham, MA 02451",2016-03-14,2016-03-22,25
"YourEncore, Inc., 20 N Meridian St., Suite 800, Indianapolis, IN 46204",2016-03-07,2016-03-21,1
"The Kantar Group, HR Operations, 3333 Warrenville Rd, Ste 400, Lisle, IL 60532",2016-03-01,2016-03-21,3
"Lanyon Solutions, Inc., 717 North Harwood, Suite, 2200, Dallas, TX 75201",2016-03-10,2016-03-18,3
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2016-02-24,2016-03-16,1
Advance Auto Parts,2016-03-07,2016-03-15,NA
Bahia Hotel Lodging,2016-02-01,2016-03-14,1
Caribe Royale Resort,2016-02-01,2016-03-14,3
Grand Sierra Resort,2016-02-01,2016-03-14,2
KTP.com,2016-02-01,2016-03-14,40
Seekinghealth.com,2016-02-01,2016-03-14,2
Washington Duke Inn,2016-02-01,2016-03-14,3
www.reddingmedical.com,2016-02-01,2016-03-14,1
"SevOne, 800 Boylston St., Suite 500; Boston, MA 02199",2016-03-07,2016-03-14,1
"PerkinElmer, Inc., 940 Winter Street, Waltham, MA 02451",2016-02-24,2016-03-11,4
"eClinical Works, LLC, Westborough, MA",2016-02-22,2016-03-07,7
"Care.com, Inc., 77 Fourth Avenue, 5th Floor, Waltham, MA 02451",2016-03-03,2016-03-10,8
Turner Construction Company,2016-03-02,2016-03-07,3
"Abel Womack, Inc., 1 International Way, Lawrence, MA 01843",2016-03-01,2016-03-07,2
York Hospital,2016-02-22,2016-03-04,1211
"Information Innovators, Inc., 7400 Fullerton Road, Suite 210, Springfield, VA 22153",2016-02-26,2016-03-03,2
"PaperWorks Industries, Inc., 40 Monument Rd., Bala Cynwyd, PA 19004",2016-03-01,2016-03-03,NA
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2016-02-04,2016-03-02,2
"Valley Hope Association, P.O. Box 510, Norton, KS 67654",2015-12-30,2016-02-25,10
"Applause App Quality, Inc., 100 Pennsylvania Ave., Framingham, MA 01701",2016-02-19,2016-02-26,1
ERINCONDREN.COM,2016-01-01,2016-02-19,24
"Calpine Corporation, 717 Texas St., Ste 1000, Houston, TX 77002",2016-02-09,2016-02-16,23
"Estech Systems, Inc., 3701 E. Plano Parkwary, Plano, Texas 75074",2016-01-14,2016-02-12,NA
"Shire Human Genetic Therapies, Inc.",2015-12-30,2016-02-11,23
"Jet Blue Airways Corp, 27-01 Queens Plaza North, Long Island City, NY 11101",2016-01-07,2016-02-11,13
"Sheptoff, Reuber & Co., P.C., 111 New London Turnpike, Glastonbury, CT 06033",2016-01-06,2016-02-09,1
"Gap, Inc., Two Folsom Street, San Francisco, CA 94105",2016-01-26,2016-02-02,18
Dräger,2016-01-19,2016-01-29,1
"Account Control Technology, Inc. (ACT), 21700 Oxnard Street, Suite 1400, Woodland Hills, California 91367",2015-12-28,2016-01-23,2
HK Financial Services,2016-01-11,2016-01-22,1
"Grunt Style LLC, 400 Fullerton Ave, Carol Stream, Illinois 60188",2015-12-09,2016-01-08,3
"The Home Depot, Inc.",2015-11-17,2015-12-21,2
"Thomas Nelson Community College of the Virginia Community College System, 99 Thomas Nelson Drive, Hampton, VA 23666",2015-12-08,2015-12-18,2
EZCONTACTS.COM,2015-11-01,2015-12-17,1
Vesta Property Services,2015-10-31,2015-12-15,1
"Mary Ruth Buchness, MD, Dermatologist, PC; 560 Broadway, Suite 406, NY, NY 10012",2015-11-23,2015-12-11,3
"Toyota Motor Credit Corporation, 19001 So. Western Avenue, Privacy Compliance EF12, Torrance, CA 90501",2015-08-05,2015-12-11,NA
"New England Calendar and Novelty Company, 133 Legion Drive, Cobleskill, NY 12043",2015-09-24,2015-12-07,20
"Keenan & Associates, 2355 Crenshaw Blvd, Suite 200, Torrance, CA 90501",2015-10-09,2015-11-20,6
Barproducts.com,2015-10-01,2015-11-18,3
CL Media 8772145393,2015-10-01,2015-11-18,5
District Lines Inc.,2015-10-01,2015-11-18,6
In Vogue Incorp,2015-10-01,2015-11-18,2
Interstitial Cystitis Network,2015-10-01,2015-11-18,1
Luggage Pros,2015-10-01,2015-11-18,1
Mandarin Oriental,2015-10-01,2015-11-18,4
SSA Honolulu Zoo,2015-10-01,2015-11-18,2
White Lodging - Marriott Hotels,2015-10-01,2015-11-18,6
Nova Southeastern University,2015-10-14,2015-11-16,1
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2015-09-17,2015-10-27,1
"CCI Construction Services, LLC, 111 West 16th Ave., Suite 400, Anchorage, AK 99501",2015-09-17,2015-10-21,1
Bombassocks.com,2015-09-01,2015-10-20,1
Brunswick Hotel & Tavern,2015-09-01,2015-10-20,11
Itickets-retail,2015-09-01,2015-10-20,1
Mrs. Fields Gifts,2015-09-01,2015-10-20,37
Nextep Systems,2015-09-01,2015-10-20,1
Trump Intl Hotel & Tow,2015-09-01,2015-10-20,5
Wahi Diner,2015-09-01,2015-10-20,1
"Central Maine Healthcare, 300 Maine Street, Lewiston, ME 04240",2015-08-24,2015-09-23,19
"Duffy's Management, Inc.",2015-08-01,2015-09-18,1
Hard Rock Hotel,2015-08-15,2015-09-18,1
Just Suspension,2015-08-15,2015-09-18,2
Lightning New York.com,2015-08-15,2015-09-18,1
Miche LLC,2015-08-15,2015-09-18,1
Monteleon Hotel,2015-08-15,2015-09-18,2
MYFREEDOMSMOKES,2015-08-15,2015-09-18,1
NEWTON RUNNING COMPANY,2015-08-15,2015-09-18,5
Supplementwarehouse.com,2015-08-15,2015-09-18,1
Wahoos Fish Tacos South,2015-08-15,2015-09-18,2
"Lando Law Firm, LLC",2015-06-03,2015-09-01,NA
Aero Grow,2015-07-01,2015-08-19,22
Erincondren.com,2015-07-01,2015-08-19,1
Illinois Bar and Grill,2015-07-01,2015-08-19,1
Usbirthcertificate.com,2015-07-01,2015-08-19,2
Charge Anywhere,2015-07-01,2015-08-19,1
Louise Allen of Louise's Bookkeeping Services,2015-07-21,2015-08-19,NA
"Web.com Group, Inc. (""Web.com""), 12808 Gran Bay Parkway West, Jacksonville, FL 32258",2015-08-13,2015-08-18,254
French Lick Resort,2015-06-01,2015-07-17,1
"Latex Construction Company, 1353 Farmer Road NW Conyers, Georgia 30012",2015-06-02,2015-07-07,2
"Trustmark Mutual Holding Company, 400 field Drive, Lake Forest, Illinois 60045",2015-05-13,2015-06-22,3
"Collected Intelligence LLC, 124 Halsey Street, Brooklyn, NY 11216",2015-05-14,2015-06-14,3
"Diman Regional Vocational Technical High School, 251 Stonehaven Road, Fall River, Maine 02723",2015-05-04,2015-05-21,2
Swimsuitsforall.com,2015-03-01,2015-04-17,4
News Café,2015-03-01,2015-04-17,2
Hellolife,2015-03-01,2015-04-17,7
Grillparts Com/barbeque renew,2015-03-01,2015-04-17,45
"Retail Capital, LLC, 1250 Kirts Blvd #100, Troy, MI 48084",2015-03-17,2015-04-01,3
Discount Party Supplies,2015-02-01,2015-03-18,1
Explosion Sportswear,2015-02-01,2015-03-18,1
Fast Growing Trees,2015-02-01,2015-03-18,8
Test Effects/Cellularoutfitter/Wireless Emporium,2015-02-01,2015-03-18,6
Worldwide Wine Spirit Southington,2015-02-01,2015-03-18,1
"SVC West, LLC, 6277 Sea Harbor Drive, Orlando, FL 32821",2015-01-06,2015-03-17,21
"Apple American Group, LLC, 6200 Oak Tree Blvd, Ste 250, Independence, OH 44131",2015-03-03,2015-03-15,1034
"State Medical  Association322 Canal Walk, Indianapolis, IN 46202",2015-02-13,2015-03-06,2
"Ascensus, Inc.",2015-02-09,2015-03-04,177
"Mark Turner, M.D., Las Vegas, Nevada",2014-12-29,2015-02-26,1
"CP Franchising, LLC (d/b/a Cruise Planners)",2015-02-24,2015-02-25,NA
TD Bank,2014-12-30,2015-02-20,2
Bombassocks.com,2015-01-01,2015-02-18,2
C & K Systems / Goodwill Industries,2015-01-01,2015-02-18,55
ClamCase LLC,2015-01-01,2015-02-18,1
Erincondren.com,2015-01-01,2015-02-18,2
ID Parts,2015-01-01,2015-02-18,3
Kessler Collection,2015-01-01,2015-02-18,3
Monteleone Hotel,2015-01-01,2015-02-18,3
Staples,2015-01-01,2015-02-18,3
Sun Data Supply,2015-01-01,2015-02-18,1
"Citizen's Financial Group, 100 Sockanosset Crossroads, Cranston, RI  02920",2014-12-04,2015-01-16,5
UMaine,2015-02-10,2015-02-19,604
"Otsuka America, Inc.",2014-11-26,2015-01-29,3
"Ascensus, Inc., 200 Dryden road, Dresher, PA 19025",2014-12-26,2015-01-23,1
"Aspire Indiana, Inc.",2014-11-07,2015-01-06,1
Apalacian Brewing Company,2014-11-01,2014-12-18,2
BreyerHorses.com,2014-11-01,2014-12-18,2
"Hosting Services, Inc",2014-11-01,2014-12-18,2
Marty's Newton,2014-11-01,2014-12-18,1
MFJ Enterprises Inc.,2014-11-01,2014-12-18,1
Nile,2014-11-01,2014-12-18,2
Pure Hockey Web,2014-11-01,2014-12-18,7
Sally Beauty Supply,2014-11-01,2014-12-18,15
Sheplers,2014-11-01,2014-12-18,1
The Sea Pines Resort Hilton Head Island,2014-11-01,2014-12-18,3
Willow Creek GRL SFO TRM 1,2014-11-01,2014-12-18,1
"Yandy, LLC",2014-11-01,2014-12-18,4
"AscenaRetail Group, Inc.",2014-11-13,2014-12-17,4
"American Residuals and Talent, Inc., 26 Gregs Way, Suite A, Tamworth, NH 03886",2014-10-18,2014-12-02,262
"Godiva Chocolatier, Inc., 139 Mill Rock Road East, Old Saybrook, CT 06475",2014-10-16,2014-11-25,88
"MemberClicks, Inc., d/b/a Moolah Payments",2014-10-24,2014-11-18,1
"MemberClicks, Inc., d/b/a Moolah Payments",2014-10-24,2014-11-18,1
West Publishing Corp.,2014-10-14,2014-11-04,15
Metropolitan Life Insurancce Company,2014-10-10,2014-10-31,1
"Camp Bow Wow Franchising, Inc.",2014-09-07,2014-10-30,2
"Alliance Workplace Solutions, LLC",2014-09-19,2014-10-24,1
Michaels Arron Brothers Stores,2014-07-01,2014-09-19,175
Wideners Reloading,2014-07-01,2014-09-19,3
AB Acquisition LLC,2014-07-17,2014-08-15,NA
Crothall Services Group,2014-07-01,2014-08-04,1
USAA,2014-07-26,2014-08-07,1
The Northern Trust Co.,2014-05-17,2014-07-29,1014
Self Regional Healthcare,2014-05-25,2014-07-22,3
Benjamin F. Edwards & Co.(BFE),2014-05-27,2014-06-15,55
"Metropolitan Regional Information Systems, Inc.",2014-06-11,2014-06-23,2
"Record Assist, LLC",2014-05-28,2014-06-23,27
National Credit Adjusters,2014-03-01,2014-06-05,68
"Giant Eagle, Inc.",2014-05-24,2014-06-13,31
Techmedia Network,2014-04-01,2014-05-16,27
URM Stores,2014-04-01,2014-05-16,4
American Dental Association,2014-05-01,2014-05-09,1
"Entercom Portland, LLC",2014-02-28,2014-05-08,2
"JCM Partners, LLC",2014-03-06,2014-04-25,1
"NCO Financial Systems, Inc.",2014-03-29,2014-04-22,3
"QVC, Inc.,",2014-04-05,2014-04-24,1
Willis North America Inc.,2014-03-19,2014-04-21,8
Larsen Dental Care,2014-03-04,2014-04-18,1
ColeTaylorBank,2014-02-07,2014-04-03,95
"RBS Citizens Financial Group, Inc.",2014-03-10,2014-03-31,1
"Wolf and Co., P.C.",2014-03-11,2014-03-24,1
Auburn University,2013-11-20,2014-03-21,2
Target,2014-01-01,2014-03-20,2871
Shipyard Brewhaus II LLC,2013-11-01,2014-03-10,22
Sands Casino Resort Bethlehem,2014-02-10,2014-02-28,NA
Harbor Freight Tools,2014-01-14,2014-02-19,57
Agon Sports,2014-01-14,2014-02-19,1
Comfort Direct/Thor-Lo,2014-01-14,2014-02-19,5
Syber Roboform Goodsync,2014-01-14,2014-02-19,31
Xpress Bill Pay,2014-01-14,2014-02-19,2
TD Bank,2014-01-16,2014-02-11,34
Freeman,2014-01-20,2014-02-10,2
Hospital for Special Surgery,2013-05-31,2014-01-28,1
Discountmugs.com Belusa,2013-12-01,2014-01-21,5
Elightbulbs,2013-12-01,2014-01-21,3
Golf 18,2013-12-01,2014-01-21,9
Nile,2013-12-01,2014-01-21,2
Specs Liquor,2013-12-01,2014-01-21,0
"Easton-Bell Sports, Inc.",2014-01-09,2014-01-17,26
Update Legal,2013-09-09,2014-01-14,1
"Straight Dope, LLC",2013-12-15,2014-01-09,NA
U.S. Fund for UNICEF,2013-11-14,2014-01-06,6
RegistratioNATION,2013-11-04,2013-12-23,7
Tech Media,2013-11-20,2013-12-20,64
Danner,2013-12-11,2013-12-19,8
MassMutual Financial Group,2013-12-03,2013-12-16,62
Hootsuite,2013-12-01,2013-12-12,1
"Mannix Marketing (maintains data for Saratoga Sweets, Barkeater Chocolates, Olde Bryan Inn and Coffee Planet",2013-11-20,2013-12-12,1
"DecisionDesk, Inc.",2013-10-28,2013-12-10,40
EZYield,2013-10-24,2013-12-06,2
Citgo,2013-10-09,2013-12-06,5
HSBC Bank USA N.A.,2013-11-01,2013-11-30,3
Drew University,2013-10-01,2013-11-22,8
Crown Castle,2013-10-31,2013-11-15,1
"Cruises, Inc.",2013-10-23,2013-11-15,1
"QVC, Inc.",2013-10-22,2013-11-15,1
DaVita HealthCare Partners,2013-09-06,2013-11-05,1
"The Scotts Company, LLC / Datapak Services Corporation",2013-10-15,2013-10-28,95
Thrivent Financial for Lutherans,2013-10-10,2013-10-28,1
"Rotech Healthcare, Inc.",2013-08-30,2013-10-24,NA
Crystal & Company,2013-06-14,2013-10-18,1
"Hudson Valley Community College (""HVCC"")",2013-08-31,2013-10-16,65
Holy Cross Hospital,2013-08-15,2013-10-07,2
CSX Transportation,2013-09-06,2013-10-03,1
"R.T. Jones Capital Equities Management, Inc.",2013-07-22,2013-09-30,32
"Petrochem Insulation, Inc.",2013-07-18,2013-09-30,5
"Total System Services, Inc.",2013-09-05,2013-09-26,NA
"Altius Education, Inc.",2013-09-06,2013-09-20,1
"MFS Service Center, Inc, a subsidiary  of Mass Financial Services Co.",2013-09-03,2013-09-16,17
Crystal & Company,2013-06-14,2013-09-11,1
QVC,2013-05-29,2013-09-04,1
Inter-Continental Hotels Corporation (ICHC),2013-07-04,2013-08-30,3
"Osprey Packs, Inc.",2013-07-09,2013-08-27,NA
Republic Services,2013-08-11,2013-08-26,2
"Advoate Medical Group (""AMG"")",2013-07-15,2013-08-23,181
"Ameriprise Financial, Inc",2013-07-17,2013-08-23,1
Shore Mortgage,2013-06-02,2013-08-21,5
"Exelixis, Inc.",2013-07-30,2013-08-15,1
Ferris State University,2013-07-23,2013-08-14,13
Argotec,2013-07-26,2013-08-12,2
Foundations Recovery Network,2013-06-15,2013-08-12,7
"McKesson Corporation (payroll vendor, ADP)",2013-04-29,2013-08-09,52
Bell Helicopter (Training Academy),2013-07-03,2013-08-09,1
