Name.of.Company,Date.of.Breach,Reported.Date,state,State.Residents.Affected
PREIT,2014-02-23,2014-05-08,IN,3
PrincipalLifeInsuranceCompany-DataBreach,2014-04-18,2014-05-02,IN,1
ProgressiveHealthofIndianaLLC,2014-05-05,2014-05-28,IN,1
PurdueUniversity,2014-03-05,2014-03-25,IN,28
PurdueUniversity,2014-05-19,2014-10-06,IN,760
PurdueUniversity,2014-01-10,2014-02-07,IN,3
QuestDiagnostics-SecurityBreach,2014-11-17,2014-12-19,IN,209
RBSCitizensFinancialGroupInc,2014-02-07,2014-03-31,IN,1
RKInternetLLC,2014-02-06,2014-04-02,IN,197
RowanCompaniesPLC,2014-05-13,2014-05-30,IN,1
SandsCasinoResortBethlehem,2014-02-10,2014-03-03,IN,17
SchroederMayAssociatesPC,2014-03-25,2014-04-11,IN,560
SchwabRetirementPlanServicesCompany,2014-10-09,2014-10-31,IN,1
ScottradeInc,2014-05-29,2014-06-10,IN,1
ScottradeInc,2014-07-09,2014-07-09,IN,1
SeattleUniversity,2014-05-25,2014-07-17,IN,10
SimmsFishingProductsLLC,2014-09-01,2014-11-25,IN,11
SnellingStaffingLLC,2014-01-20,2014-04-18,IN,56
SonyPicturesEntertainmentInc,2014-11-24,2014-12-11,IN,56
SorensonCommunications,2014-02-20,2014-03-26,IN,192
SourcebooksInc,2014-04-16,2014-10-17,IN,105
SourceMediaInc,2014-05-01,2014-07-24,IN,1
SpencerCountyCouncilonAging,2014-11-23,2014-12-15,IN,104
StateFarmInsuranceCompanies-SecurityBreach,2014-03-31,2014-04-09,IN,1
SterneAgeeLeachInc,2014-05-29,2014-06-26,IN,3477
StonebridgeLifeInsuranceCompany,2014-06-25,2014-08-22,IN,7
StuartBraniginLLP,2014-01-30,2014-02-19,IN,6
StVincentDunnHospital,2014-01-07,2014-01-17,IN,1
SurescriptsLLC,2014-03-01,2014-10-03,IN,1
SymantecCorporation*,2014-01-28,2014-02-20,IN,3
TakeCareHealthSystems,2014-01-31,2014-03-18,IN,1
TeaysRiverInvestmentsLLC,2014-04-10,2014-07-07,IN,5
TheDreslyn,2014-04-23,2014-08-04,IN,3
TheFountainTrustCompany,2014-05-31,2014-06-18,IN,378
TheFreemanCompany,2014-01-20,2014-02-10,IN,265
TheHomeDepot,2014-05-07,2014-05-27,IN,1
TheMedicalProtectiveCompany,2014-05-06,2014-05-30,IN,4
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,2014-01-18,2014-02-08,IN,1
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,2014-01-04,2014-05-02,IN,25
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,2014-03-18,2014-04-08,IN,4
TheTimkenCompany,2014-01-30,2014-03-05,IN,6
TheUnionLaborLifeInsuranceCompany,2014-02-17,2014-06-04,IN,369
TheUPSStoreInc,2014-01-20,2014-10-01,IN,4
TheVanguardGroupInc,2014-06-25,2014-10-02,IN,1
TheVanguardGroupInc,2014-02-12,2014-04-28,IN,1
ThomsonReuters,2014-02-01,2014-07-10,IN,2
TimMcCoyAssociates,2014-08-27,2014-09-15,IN,247
TREMEC,2014-07-10,2014-09-08,IN,14
TrusteesofIndianaUniversity,2014-03-27,2014-04-07,IN,4
UILHoldingsCorporation,2014-09-13,2014-09-30,IN,2
Union Hospital,2014-07-14,2014-07-23,IN,2
Union Hospital,2014-06-06,2014-07-16,IN,2
UnionTownshipSchoolCorporation,2014-06-16,2014-06-27,IN,1236
UnitedStatesFireInsuranceCompanyFairmontSpecialty,2014-04-09,2014-08-21,IN,5
UniversityofKentucky-UKHealthCare,2014-02-04,2014-03-31,IN,2
USA Funds,2014-06-10,2014-07-25,IN,1
USAA Federal Savings Bank*,2014-01-20,2014-10-02,IN,4
USIIndustrialServicesInc,2014-08-19,2014-10-09,IN,1
Valeritas,2014-07-16,2014-09-23,IN,4
VendersExchangeInternational,2014-06-25,2014-07-17,IN,1
VerizonCorporateServicesGroupInc,2014-01-20,2014-02-25,IN,1
VFW,2014-03-04,2014-04-11,IN,1391
VibramUSAInc-SecurityBreach,2014-06-06,2014-08-05,IN,81
Visionworks,2014-06-15,2014-11-21,IN,6
Visionworks,2014-09-25,2014-11-24,IN,14
Walgreens,2014-03-03,2014-05-27,IN,1
WestPublishingCorporation,2014-10-14,2014-11-04,IN,21
WillisNorthAmericaIncMedicalExpenseBenefitPlan,2014-03-20,2014-04-21,IN,9
Yandycom,2014-05-28,2014-09-08,IN,603
(DOR) Indiana Department of Revenue,2015-06-11,2015-07-06,IN,40
2020Communications,2015-07-27,2015-08-03,IN,2
AbercrombieFitch,2015-03-25,2015-04-17,IN,3
AcclaimTechnicalServicesInc,2015-08-26,2015-12-23,IN,5
ACESurgicalSupplyCoInc,2015-04-11,2015-09-15,IN,15
ActavisInc,2015-08-25,2015-10-01,IN,104
AcuityAMututalInsuranceCompany,2015-04-14,2015-04-23,IN,1
Adreima,2015-10-12,2015-11-05,IN,3
AdvantageDental,2015-02-23,2015-03-18,IN,7
AeroGrowInternationalInc,2014-10-15,2015-06-03,IN,688
AFLAC,2015-10-07,2015-11-20,IN,1
Aflac,2015-10-26,2015-11-10,IN,4
AFLAC,2015-07-01,2015-10-19,IN,1
AFLAC,2015-06-17,2015-07-15,IN,6
AkronInc,2015-03-01,2015-06-04,IN,5
AKSteelCorporation,2015-04-30,2015-05-08,IN,3
AlfaVisionInsuranceCoandAlfaSpecialtyInsuranceCorp,2015-04-18,2015-07-10,IN,2231
AlinMachiningCompanyInc-Breach Notification,2014-11-07,2015-01-12,IN,21
AllegisGroupInc,2015-01-01,2015-06-08,IN,2
AllenTateMortgageServicesInc,2015-11-02,2015-11-20,IN,1
AltaSkiLiftsCo,2015-02-16,2015-03-09,IN,1
AmeriFirstFinancialCorporation-DataBreach,2015-07-28,2015-08-19,IN,1
AmeripriseFinancialInc,2015-03-18,2015-04-24,IN,2
AmeripriseFinancialInc-Breach Notification,2015-02-12,2015-02-25,IN,1
AmeripriseFinancialInc-Breach Notification,2015-02-20,2015-03-18,IN,1
AmiciCellars,2015-04-01,2015-06-18,IN,3
AmstedRail,2015-02-04,2015-03-19,IN,850
Anheuser-BuschCompaniesLLC,2015-06-29,2015-07-09,IN,3
AnthemBlueCrossandBlueShield,2015-08-21,2015-11-20,IN,1
AOLInc,2015-09-17,2015-12-22,IN,2
AonCorporation,2015-08-01,2015-10-13,IN,1
AONHewitt,2015-06-05,2015-07-02,IN,1
AONHewitt,2015-07-15,2015-08-28,IN,4
AppleAmericanGroupLLC,2015-03-03,2015-03-15,IN,3058
ArtofTea-Breach Notification,2014-10-26,2014-12-31,IN,16
AscensusInc-DataBreach,2015-05-14,2015-05-27,IN,16
AscensusInc-DataBreach,2015-01-12,2015-02-06,IN,2
AscensusInc-DataBreach,2015-09-03,2015-09-24,IN,468
AscensusInc-DataBreach,2015-02-09,2015-03-04,IN,1
AscensusInc-DataBreach,2014-12-24,2015-01-23,IN,1
ATT-Breach Notification,2014-10-16,2014-12-19,IN,5
AuburnUniversity,2014-09-01,2015-04-01,IN,1038
AustinPowderCompany,2014-12-01,2015-04-07,IN,66
AutoCareAssociation,2015-09-11,2015-10-13,IN,8
AutomotiveRecoveryServicesInc,2015-01-01,2015-07-06,IN,1953
BankersLifeandCasualtyCompany,2015-05-28,2015-09-03,IN,1
BarbecueRenewInc-Breach Notification,2014-01-01,2015-01-16,IN,815
BeckerMayerLLCSmartLabToys,2015-04-01,2015-09-28,IN,1
BedBathBeyondInc,2015-03-07,2015-09-28,IN,1
BedBathBeyondInc-Breach Notification,2014-11-03,2015-02-26,IN,1
Betterbee,2015-03-03,2015-03-16,IN,5
BigFishGames-Breach Notification,2014-12-24,2015-02-10,IN,499
BLaneInc,2015-05-19,2015-11-13,IN,112
BlueRiverServicesInc,2015-11-16,2015-11-19,IN,55
BlueSkyCasino-Breach Notification,2014-04-23,2015-01-23,IN,54624
BlueSpringsPartners,2014-05-02,2015-07-21,IN,481
BMV,2015-12-01,2015-12-02,IN,1
BMV-Breach Notification,2015-06-02,2015-06-17,IN,1
BMV-Breach Notification,2015-01-28,2015-01-28,IN,1
BrandeisUniversity,2015-10-25,2015-11-12,IN,26
BrunswickHotelTavern,2014-11-29,2015-08-21,IN,4
BulkReefSupply-Breach Notification,2014-07-30,2015-02-27,IN,360
CainVineyardandWinery,2015-04-01,2015-06-18,IN,16
CareFirstBlueCrossBlueShield,2014-06-19,2015-05-21,IN,20
ntants,2015-09-23,2015-12-15,IN,2
CenterraGroupLLC,2015-10-30,2015-12-14,IN,2
CFIndustriesHoldingsInc,2014-12-11,2015-06-04,IN,6
Charles Schwab Co. Inc,2015-04-30,2015-05-21,IN,1
CharleskrugWinery,2015-04-01,2015-06-10,IN,15
CharlesSchwabCoInc,2015-08-12,2015-08-27,IN,1
Children'sBureauInc,2015-04-28,2015-05-27,IN,1
CitibankNA-Breach Notification,2015-02-19,2015-03-06,IN,1
CitibankNA-Breach Notification,2015-07-28,2015-09-17,IN,1
CitiesServiceLLC,2014-10-13,2015-04-29,IN,7
CityWinery,2014-03-08,2015-03-16,IN,9
ClayCountyChildSupportDivision,2015-07-22,2015-07-23,IN,1
ClifBarFamilyWineryfFarmLLC,2015-04-01,2015-06-10,IN,31
CoastalInternationalSecurityInc,2015-03-25,2015-04-06,IN,4
ColaColaCPA's,2015-10-15,2015-12-15,IN,2
ColumbiaThreadneedleInvestments,2015-10-12,2015-11-09,IN,1
ColumbusRegionalHealthPhysicians-Breach Notification,2015-04-21,2015-05-01,IN,1
ColumbusRegionalHealthPhysicians-Breach Notification,2014-12-01,2014-12-23,IN,1
CommunityHealthNetwork,2015-10-08,2015-10-19,IN,1
CommunityHealthNetwork,2015-07-20,2015-08-04,IN,2
CommunityHealthNetwork,2015-04-08,2015-04-18,IN,1
CommunityHealthNetwork,2015-08-01,2015-08-20,IN,1
CommunityHealthNetwork,2015-06-08,2015-07-20,IN,1
CommunityHealthNetwork,2015-06-24,2015-07-24,IN,1
CommunityHealthNetwork,2015-08-12,2015-10-14,IN,2
CommunityHealthNetwork,2015-09-18,2015-10-14,IN,2
CommunityHealthNetwork,2015-09-13,2015-09-14,IN,1
CommunityHealthNetwork-Breach Notification,2014-01-15,2015-01-30,IN,4
CorisonWinery,2015-04-01,2015-06-18,IN,49
CostcoPhotoCenter,2014-06-19,2015-09-22,IN,1618
CottageHealthSystem,2015-10-26,2015-12-03,IN,1
CountryLifeInsuranceCompany,2015-04-29,2015-06-01,IN,7
CovantaProjectsLLC,2015-05-19,2015-06-10,IN,2
CovenantCare-MarionRehabilitationAssistedLivingCenter,2015-03-11,2015-03-30,IN,3
CVSPharmacyInc,2014-06-01,2015-09-11,IN,10928
DeaconessCompCenter-Breach Notification,2014-12-10,2015-01-05,IN,1
DepartmentofChildServices-ChildSupportBureau,2015-09-25,2015-10-02,IN,1
DianeJRattsConsultingInc,2015-09-22,2015-09-24,IN,1
DigitalTheatreLLC,2015-04-19,2015-10-28,IN,106
DonelanFamilyWinesLLC,2015-04-01,2015-06-18,IN,6
DoubletreeSuitesbyHiltonWaltDisneyWorld,2015-02-25,2015-04-01,IN,2
DowCorningCorporation,2015-08-31,2015-10-30,IN,717
DowJonesCompanyInc,2015-07-25,2015-10-09,IN,37
DukeEnergyProgressInc,2015-03-01,2015-08-03,IN,1
DungareesLLC,2015-10-15,2015-12-22,IN,218
DungareesLLC,2015-03-26,2015-06-19,IN,229
EarlhamCollege,2015-06-09,2015-06-12,IN,1
eb5Corporation,2015-05-05,2015-09-25,IN,8
EidPassportInc-Breach Notification,2014-12-24,2015-03-02,IN,1
eMinorIncorporateddbaReverbNation,2014-01-01,2015-09-02,IN,3
EmpiIncDJOLLC-Breach Notification,2014-11-07,2014-12-26,IN,1
EssexPropertyTrustInc,2014-08-13,2015-04-01,IN,23
EsuranceInsuranceServicesInc,2015-01-28,2015-05-12,IN,1
ExamOne,2015-09-24,2015-10-30,IN,2
ExamOne,2015-08-10,2015-09-01,IN,1
ExamOne,2015-09-10,2015-10-15,IN,1
ExamOne-Breach Notification,2015-01-15,2015-02-12,IN,5
ExamOne-Breach Notification,2015-01-13,2015-02-10,IN,1
ExamOne-Breach Notification,2015-02-05,2015-03-13,IN,1
ExamOne-Breach Notification,2014-12-12,2015-01-13,IN,1
ExtractionOilGasLLC-Breach Notification,2015-01-30,2015-02-27,IN,2
EyeBuyDirectInc,2015-02-09,2015-10-13,IN,34
FarmtoFeet,2015-08-03,2015-12-23,IN,4
FastForwardAcademyLLC-Breach Notification,2014-12-03,2015-01-02,IN,181
FidelityInvestments,2015-07-28,2015-08-19,IN,1
FidelityInvestments,2015-08-26,2015-09-18,IN,3
FidelityInvestments-Breach Notification,2015-03-04,2015-03-17,IN,1
FidelityInvestments-Breach Notification,2015-01-12,2015-02-20,IN,2
FidelityNationalFinancialInc,2015-04-08,2015-04-10,IN,1
FinancialCenterFirstCreditUnion,2015-04-07,2015-04-27,IN,10
FireKeepersCasinoHotel,2014-09-07,2015-07-06,IN,3286
FirstCommandFinancialServicesInc,2014-11-12,2015-03-31,IN,8
FisherVineyard,2015-04-01,2015-06-18,IN,19
FlewellingMittonPC,2015-12-10,2015-12-28,IN,1
FloraSpringsWineryandVineyards,2015-04-01,2015-06-18,IN,86
ForestCreekVillage,2015-03-03,2015-03-20,IN,1
FoxSports,2015-01-28,2015-03-16,IN,3
FranciscanPhysicianNetwork-Breach Notification,2015-01-01,2015-02-13,IN,1
FranciscanPhysicianNetwork-Breach Notification,2014-10-15,2015-02-05,IN,12
FrankJMartinCompany,2015-06-03,2015-09-22,IN,6
FriasVineyards,2015-04-01,2015-06-18,IN,20
FSSA,2015-11-23,2015-12-01,IN,1
FSSA,2015-09-25,2015-10-01,IN,1
FSSA-Breach Notification,2015-01-02,2015-02-11,IN,1
FSSA-Breach Notification,2015-09-09,2015-09-11,IN,6
FSSA-Breach Notification,2015-05-29,2015-06-03,IN,1
FSSA-Breach Notification,2015-01-27,2015-02-02,IN,6
FSSA-Breach Notification,2015-04-06,2015-04-09,IN,1
FSSA-Breach Notification,2015-05-21,2015-06-09,IN,6
GallantRiskInsuranceServicesInc,2015-04-04,2015-06-03,IN,1
GardenCreekVineyardsLLC,2015-04-01,2015-06-18,IN,3
GemstoneVineyards,2015-04-01,2015-06-18,IN,10
GeneralMotorsCompany,2015-03-24,2015-04-06,IN,1
GenescoSportsEnterprisesInc-Breach Notification,2015-01-30,2015-02-27,IN,1
Genworth,2015-07-28,2015-08-19,IN,1
GoodwillofCentralIndianaIncNurse-FamilyPartnership,2015-11-11,2015-11-23,IN,1
GreenWaveScientificInc,2015-06-03,2015-08-10,IN,47
GreenwoodMeadows,2015-05-15,2015-07-17,IN,1
HDISInc,2015-11-27,2015-12-28,IN,5
HeitzWineCellars,2015-04-01,2015-06-18,IN,32
HersheyEntertainmentResortsCompany,2015-02-14,2015-07-10,IN,170
HolidayInnExpressSuites,2014-10-13,2015-08-21,IN,10
Honig'sWhistleStop,2015-03-08,2015-05-12,IN,264
HotelBeacon,2015-01-08,2015-04-17,IN,8
HSBCBankUSANationalAssociation,2015-06-19,2015-07-24,IN,8
HSBCBankUSANationalAssociation,2015-11-06,2015-12-03,IN,3
HuneeusVintnersLLC,2015-04-01,2015-06-15,IN,107
IDPartsLLC-Breach Notification,2014-01-01,2014-12-22,IN,269
IndianaDepartmentofInsurance-SecurityBreach,2015-06-25,2015-07-09,IN,1
IndianaDepartmentofRevenue-Breach Notification,2014-07-10,2015-01-07,IN,0
IndianaDepartmentofRevenueDOR,2015-06-12,2015-06-22,IN,1262
IndianaStateMedicalAssociation-Breach Notification,2015-02-13,2015-03-06,IN,28124
IndianaUniversitySouthBendCampus-Breach Notification,2015-02-21,2015-02-25,IN,1
IndySouthsideSurgical,2015-01-02,2015-07-06,IN,28
IntegratedListeningSystemsLLC,2015-05-18,2015-11-13,IN,14
InterlineBrandsInc,2015-08-05,2015-08-28,IN,6
InterstitialCystitsNetwork,2015-04-06,2015-10-26,IN,38
IntimacyManagementCompany,2014-12-15,2015-06-04,IN,22
IntuitInc,2015-09-18,2015-10-27,IN,6
IntuitInc,2015-10-12,2015-11-17,IN,71
IntuitInc,2015-12-02,2015-12-23,IN,2
IntuitInc,2015-10-23,2015-11-25,IN,6
IntuitInc,2015-11-20,2015-12-04,IN,2
IntuitInc-Breach Notification,2014-04-18,2015-02-15,IN,91
IntuitInc-Breach Notification,2014-02-01,2015-04-07,IN,618
JemroseLLCdbaJemroseWines,2015-04-01,2015-06-18,IN,3
JessupCellarsdbaTheGoodLifeWineCollection,2015-04-01,2015-06-18,IN,95
JonesLangLaSalleAmericasInc,2015-05-11,2015-05-29,IN,14
KanzlerVineyards,2015-04-01,2015-06-18,IN,5
Knit-RiteInc,2015-02-17,2015-11-24,IN,26
KostaBrowneWineryLLC,2015-04-01,2015-06-05,IN,69
KraftMusicLTD-Breach Notification,2014-12-21,2015-03-03,IN,31
LaJollaGroupInc-Breach Notification,2014-11-30,2014-12-31,IN,39
LandoLawFirmLLC,2015-06-03,2015-09-04,IN,5
LarkmeadVineyardsVinterGrower,2015-04-01,2015-06-18,IN,62
LatexConstructionCompany,2015-06-02,2015-07-07,IN,1
LawEnforcementTargets,2015-03-03,2015-03-23,IN,7
LCIndustries,2015-06-20,2015-07-22,IN,1
LCIndustries,2015-02-10,2015-06-19,IN,45
Learningcom,2015-03-17,2015-06-12,IN,1
LifeViewOutdoors,2015-01-01,2015-05-19,IN,3
LimeCrimeInc-Breach Notification,2014-10-04,2015-02-24,IN,563
LinRRogersElectricalContractorsInc,2015-07-10,2015-08-21,IN,10
LoaderPartsSourceInc-Breach Notification,2014-09-22,2015-01-26,IN,9
LokaiHoldingsLLC-Breach Notification,2014-07-18,2014-12-24,IN,1673
MamaMioUSInc,2015-04-29,2015-08-04,IN,39
ManchesterHotelHospitalityLLC,2014-10-13,2015-06-23,IN,97
MandarinOriental,2014-06-18,2015-07-10,IN,99
MarianUniversity,2015-10-14,2015-10-16,IN,9
Mark Turner,2014-12-29,2015-02-26,IN,1
MarriottInternational,2015-10-07,2015-10-19,IN,1
MartinelliWinery,2015-04-01,2015-06-18,IN,32
MassachusettsMutualLifeInsuranceCompany,2015-03-05,2015-03-19,IN,6
MassachusettsMutualLifeInsuranceCompany,2015-06-18,2015-07-27,IN,7
MatsonNavigationCompanyInc,2015-11-09,2015-12-23,IN,42
Mayer-Johnsoncom,2015-11-13,2015-12-09,IN,3
MedicalInformaticsEngineeringandNoMoreClipboard,2015-05-07,2015-06-18,IN,1498970
Mid-AmericaApartmentCommunitiesInc,2014-10-15,2015-05-13,IN,18
Mid-StateTechnicalCollege,2015-06-19,2015-09-04,IN,2
MidwesternUnitedLifeInsurance-Breach Notification,2014-08-29,2014-12-29,IN,4
MilestoneNospitalityManagementLLC,2015-06-02,2015-08-14,IN,21
MilkNursingwear,2015-07-13,2015-08-21,IN,3
MinnesotaLifeInsuranceCo,2015-12-08,2015-12-18,IN,8
MinnesotaLifeInsuranceCo,2015-05-04,2015-06-16,IN,1
ModSpace-Breach Notification,2014-09-19,2015-01-26,IN,4
MomentivePerformanceMaterials,2015-01-28,2015-04-01,IN,108
MonsmaMarketingCorporation,2015-07-22,2015-09-09,IN,15
MonticelloHealthcare,2015-04-13,2015-06-02,IN,2
NationstarMortgageLLC,2015-07-27,2015-08-12,IN,1
Nelnet,2015-04-08,2015-04-28,IN,1
NestleUSA,2015-01-01,2015-05-15,IN,1
NestleUSA,2015-08-05,2015-08-26,IN,1
NewEnglandCalendarandNoveltyCompany,2015-09-24,2015-12-07,IN,9
NewHorizonsComputerLearningCentersInc,2015-04-04,2015-07-10,IN,252
NewtonRunningCompany,2015-04-26,2015-08-11,IN,2
NexientLLC,2015-06-10,2015-07-10,IN,54
NiteIzeInc,2015-03-03,2015-03-27,IN,750
NobleHouseHotelsandResorts,2015-01-28,2015-10-22,IN,102
NobleHouseHotelsandResorts,2014-12-29,2015-11-13,IN,275
NovaSoutheasternUniversity,2015-10-14,2015-11-16,IN,1
NuanceCommunicationsInc,2014-12-10,2015-03-20,IN,35
OneHourHeatingAirConditioning118,2015-07-02,2015-08-07,IN,1
OneStopParking,2014-08-01,2015-03-17,IN,347
OppenheimerFunds-Breach Notification,2015-01-29,2015-02-18,IN,2
OppenheimerFunds-Breach Notification,2014-07-31,2015-02-02,IN,1
OppenheimerFunds-Breach Notification,2014-01-25,2015-01-15,IN,130
OptumRxHomeDeliveryPharmacy,2015-02-23,2015-05-19,IN,1
OrindaUnionSchoolDistrict,2015-04-28,2015-05-05,IN,1
OrthoIndy,2015-02-13,2015-04-13,IN,15
OrthopaedicsIndianapolisInc,2015-07-13,2015-08-14,IN,1
OtsukaAmerica-Breach Notification,2014-11-26,2015-01-29,IN,8
PalmazVineyards,2015-04-01,2015-06-18,IN,46
PaycorInc,2015-05-19,2015-06-04,IN,11
PaycorInc,2015-12-07,2015-12-17,IN,1
PeggyEOlsonCPA,2015-09-02,2015-10-09,IN,2
PentairThermalManagement,2015-06-12,2015-07-09,IN,1
PeppermillCasinosInc,2014-10-12,2015-10-13,IN,17
PercheronLLC-Breach Notification,2015-01-15,2015-02-25,IN,4
PersonalFinanceCoLLC,2015-10-05,2015-11-16,IN,1
PeterMichaelWinery's,2015-04-01,2015-06-12,IN,35
PhysiciansHealthPlanofNorthernIndiana,2015-12-08,2015-12-21,IN,1708
PiechSalesCompanyLLC-Breach Notification,2014-11-25,2015-01-14,IN,118
PrecisionResourceCompany,2015-11-17,2015-12-03,IN,2
PrideMountainVineyards,2015-04-01,2015-06-18,IN,97
PrimaryCapitalMortgageLLC,2015-08-11,2015-08-19,IN,1
PurdueUniversity,2015-03-25,2015-04-07,IN,1
QuadGraphics,2015-07-20,2015-08-14,IN,2
RansomedHeartMinistries,2015-04-28,2015-07-17,IN,25
RBSKPartnersPC,2015-06-25,2015-08-04,IN,8
RedDressBoutique,2015-09-14,2015-10-01,IN,4
RegionsBank,2014-11-01,2015-05-11,IN,29
ReprisVineyards,2015-04-01,2015-06-18,IN,70
RetailCapitalLLC,2015-03-17,2015-04-01,IN,12
RhysVineyards,2015-04-01,2015-06-18,IN,12
RiteAidCorporation,2014-08-20,2015-09-22,IN,149
RiverValleyResourcesInc,2015-07-09,2015-07-16,IN,104
RocheDiagnosticsOperationsInc-Breach Notification,2014-02-01,2014-12-23,IN,34
RombauerVineyardsInc,2015-05-01,2015-06-11,IN,24
RosegateVillage-Breach Notification,2015-01-07,2015-01-21,IN,74
RoundPondEstate,2015-04-01,2015-06-18,IN,88
SallyBeautyHoldingsInc,2015-03-06,2015-05-28,IN,62610
SaltLakeCounty,2015-06-18,2015-10-09,IN,3
SamelaIncdbaNorthShoreCareSupply,2015-06-07,2015-10-08,IN,184
SASSafetyCorp,2015-09-23,2015-12-24,IN,4
SaveandVaultStorecom,2015-03-20,2015-05-21,IN,2
SchlageLockCompanyLLC,2015-09-23,2015-10-13,IN,1010
ScottradeFinancialServicesInc,2015-07-01,2015-09-25,IN,16
SeattleChocolatesCompany,2015-09-29,2015-11-16,IN,4
SelectComfort-Breach Notification,2015-01-23,2015-02-27,IN,3
ShellVacationsClub,2015-01-06,2015-03-06,IN,93
ShorePowerInc,2015-04-23,2015-07-29,IN,1
SignatorInvestorsInc,2015-03-13,2015-04-28,IN,4
SignorelloEstate,2015-04-01,2015-06-18,IN,9
SilveradoVineyards,2015-04-01,2015-06-18,IN,27
SmoothieKing,2015-06-03,2015-06-22,IN,1
SMSHospitalityLLC,2015-05-28,2015-08-07,IN,5
SooCo-opCreditUnion-Breach Notification,2014-12-15,2015-01-14,IN,2
SouthernNewHampshireMedicalCenter-Breach Notification,2015-01-30,2015-02-20,IN,2
SpringMountainVineyard,2015-04-01,2015-06-18,IN,38
SpringstoneInc-Breach Notification,2014-10-31,2014-12-17,IN,31
SRI,2014-12-01,2015-04-02,IN,5393
StateFarmInsuranceCompanies,2015-09-03,2015-11-24,IN,1
StateFarmInsuranceCompanies,2015-04-15,2015-07-21,IN,2
StateFarmInsuranceCompanies,2015-10-26,2015-12-15,IN,27
STILETTOSolutions,2015-09-16,2015-10-28,IN,207
StMary'sHealthInc,2015-04-02,2015-11-16,IN,1
StMary'sHealthInc-Breach Notification,2015-04-21,2015-06-08,IN,1
StMary'sHealthInc-Breach Notification,2014-12-03,2015-03-05,IN,1299
StonerBuntingAdvertising,2015-08-21,2015-10-27,IN,2
StreetsofNewYork,2015-09-01,2015-10-02,IN,4
StVincentHospitalandHealthCareCenterInc-Breach Notification,2015-08-05,2015-09-03,IN,1
StVincentHospitalandHealthCareCenterInc-Breach Notification,2015-06-22,2015-07-10,IN,1
StVincentHospitalandHealthCareCenterInc-Breach Notification,2014-12-03,2015-01-29,IN,5
StVincentMedicalGroupInc,2014-12-03,2015-04-10,IN,32
StVincentMedicalGroupInc,2015-06-16,2015-07-15,IN,4
StVincentSalemHospitalInc-Breach Notification,2014-12-03,2015-02-05,IN,2
SuburbanLungAssociatesSC,2015-02-13,2015-04-14,IN,27
SummersEstateWines,2015-04-01,2015-06-18,IN,22
SunquestInformationSystemsInc,2015-07-27,2015-08-26,IN,1
SweatyBandsLLC,2015-03-14,2015-04-16,IN,6
SykesEnterprisesInc,2015-05-29,2015-08-07,IN,1
SyncreonNorthAmericaInc,2015-11-05,2015-11-24,IN,10
TakeCareHealthSystemsLLC-Breach Notification,2015-01-26,2015-02-24,IN,6
TamronUSAInc-Breach Notification,2015-01-29,2015-02-17,IN,20
TeachersCreditUnion-Breach Notification,2015-04-01,2015-06-01,IN,17
TeachersCreditUnion-Breach Notification,2015-03-19,2015-03-30,IN,2
TeachersCreditUnion-Breach Notification,2014-07-21,2015-04-01,IN,224
TeachersCreditUnion-Breach Notification,2015-05-21,2015-05-29,IN,2
TernesIndianaInc,2015-11-25,2015-12-02,IN,51
TheGoodyearTireRubberCompany,2015-01-31,2015-03-20,IN,1
TheLawOfficeofJonPYormickCoLPA,2015-06-13,2015-07-31,IN,1
TheLincolnNationalLifeInsuranceCompany,2015-04-16,2015-05-19,IN,1
TheOnlineTrafficSchoolInc,2015-07-05,2015-07-29,IN,94
ThePrudentialInsuranceCompanyofAmerica-Breach Notification,2015-01-03,2015-02-25,IN,4
TheVanguardGroupInc,2015-08-07,2015-12-23,IN,1
TheVanguardGroupInc,2015-01-09,2015-03-19,IN,1
TheVineyardHouseWinery,2015-04-01,2015-06-18,IN,2
ystem,2015-12-08,2015-12-18,IN,1
TimeWarnerInc-Breach Notification,2015-01-28,2015-02-19,IN,1
T-MobileUSAInc,2015-09-14,2015-10-01,IN,224467
TotallyPromotional,2015-06-23,2015-08-17,IN,84
ToyotaMotorCreditCorporation,2015-08-05,2015-12-14,IN,133
TransamericaPremierLifeInsuranceCompany-Breach Notification,2014-11-05,2014-12-19,IN,1
"Tremco, Inc.",2015-06-17,2015-07-29,IN,106
TrumpHotelCollection,2014-05-19,2015-09-25,IN,27
TrustmarkMutualHoldingCompany,2015-05-13,2015-06-23,IN,277
TuneCore,2015-11-17,2015-12-11,IN,206
TurleyWineCellars,2015-04-01,2015-06-18,IN,88
UberTechnologiesInc-Breach Notification,2014-05-13,2015-02-26,IN,480
UCLAHealth,2014-09-21,2015-07-17,IN,1677
UMassMemorialMedicalGroup-Breach Notification,2014-01-07,2015-01-30,IN,2
Union Hospital,2015-09-30,2015-10-13,IN,1
UnionAssociatedPhysiciansClinicLLC,2015-08-01,2015-09-03,IN,2
UnionHospitalInc,2015-03-24,2015-05-05,IN,1
UnitedStudentAidFundsInc,2015-10-02,2015-11-02,IN,2
UnitedStudentAidFundsInc-BreachNotification,2015-06-08,2015-07-15,IN,7
UnityRecoveryGroupInc,2014-04-01,2015-05-26,IN,10
